glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
bard1255	-16.64414	122.933671	0.0170117131269391	0.0175899993628263	0.00331234140730947	0.00618499959819019	0.0170220801683881	0.0176787673909631	0.00340768441992245	0.00591461519878875
bayu1240	-23.854626	113.88269	0.00891160734740275	0.00860999990254641	0.00182401565266946	0.00268250040244311	0.00891913887411063	0.00866762155136611	0.00181062923306972	0.00246739515892437
bili1250	-16.834598	130.751296	0.0112984399683014	0.0107300002127886	0.00526938650042718	0.00982000003568828	0.011309908683623	0.0107532506355912	0.0053658707283308	0.00915711807707945
buna1275	-17.701102	125.708644	0.00934960594751366	0.00842500012367964	0.00450739702226874	0.00720999971963465	0.00936062810481685	0.00863212846969772	0.00454573876873126	0.00703754166897852
bura1267	-12.20424	134.579826	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
burd1238	-23.462142	115.053485	0.00891160734740275	0.00860999990254641	0.00182401565266946	0.00268250040244311	0.00891913887411063	0.00866762155136611	0.00181062923306972	0.00246739515892437
darl1243	-32.801982	142.510907	0.00570046655141199	0.00545500009320676	0.00113374699789188	0.00129749975167215	0.00570565856803205	0.00547195208815133	0.00107726820880804	0.00125817254431442
dhal1245	-22.645518	114.576484	0.0139667817113578	0.0135399997234344	0.00266989181116631	0.00473000016063452	0.0139774119272244	0.0135778791607461	0.00273965925776884	0.00439431631821208
dhan1270	-11.95	135.75	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
dhar1247	-24.103312	115.59019	0.00616062132941259	0.00569500005804002	0.00200465370400498	0.00234750017989427	0.00616827619564921	0.00575145833944488	0.00193040569927889	0.00227990175901343
djau1244	-13.919553	132.860985	0.013111967248256	0.0125049999915063	0.00516702734332664	0.0102150004822761	0.013128712545462	0.0127215979090478	0.00528216505066547	0.00944086389629067
djin1253	-12.220231	134.814753	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
djiw1241	-23.435413	116.247889	0.00616062132941259	0.00569500005804002	0.00200465370400498	0.00234750017989427	0.00616827619564921	0.00575145833944488	0.00193040569927889	0.00227990175901343
dyaa1242	-16.760801	145.503712	0.0166337621172495	0.016720000654459	0.00205482291366965	0.00375999975949526	0.0166437155492775	0.0167010118344074	0.0020739422770785	0.00351216704843359
erre1238	-12.357651	132.949648	0.0155021537199512	0.0152250002138317	0.00414085582794347	0.00823250017128885	0.0155192700468569	0.0154820562456734	0.00421851141961326	0.00786695136533429
gami1243	-30.864312	150.080156	0.00862081619934776	0.00810000021010637	0.00252552998812617	0.00404500006698072	0.00863205932814487	0.00819742569971519	0.00256038009344266	0.00384395902801771
gupa1247	-12.489152	135.800677	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
gura1252	-12.22458	134.294174	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
