glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
wand1263;Wandarang;NA;no;Australia;-14.454448;135.456487;Mangarrayi-Maran;mang1423;just_extinct;ok;HG;0;0
wany1247;Wanyi;NA;yes;Australia;-18.198094;137.479327;Garrwan;garr1260;just_extinct;ok;HG;0;0
wari1262;Wariyangga;NA;no;Australia;-25.00479;116.318018;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
warl1254;Warlpiri;NA;yes;Australia;-20.58751;130.858901;Pama-Nyungan;pama1250;alive;ok;HG;2670;2304
wemb1241;Wemba Wemba;NA;yes;Australia;-35.566891;143.607655;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
wikn1245;Wik-Ngathana;NA;no;Australia;-13.71741;141.637262;Pama-Nyungan;pama1250;alive;ok;HG;130;3
wong1246;Wangkumara;NA;no;Australia;-27.603503;142.447239;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
yann1237;Nhangu;NA;no;Australia;-12.037377;135.568849;Pama-Nyungan;pama1250;alive;ok;HG;40;10
yany1243;Yanyuwa;NA;no;Australia;-15.725592;136.350689;Pama-Nyungan;pama1250;alive;ok;HG;52;39
yayg1236;Yaygir;NA;no;Australia;-29.656271;153.181363;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
yind1247;Yinggarda;NA;no;Australia;-22.010657;117.589981;Pama-Nyungan;pama1250;alive;ok;HG;350;377
yinh1234;Yinhawangka;NA;no;Australia;-23.501607;118.871252;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
yiry1245;Yir-Yoront;NA;no;Australia;-15.125675;142.050341;Pama-Nyungan;pama1250;alive;ok;HG;15;15
yuwa1242;Yuwaalaraay;NA;no;Australia;-29.574185;147.900172;Pama-Nyungan;pama1250;alive;ok;HG;NA;NA
yuwa1243;Yuwaalayaay;NA;no;Australia;-28.872217;148.671974;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
