glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
bura1267	-12.20424	134.579826	134.579826	222.889502164502	6.26088968128932	219.318181818182	233.428571428571	222.090909090909	220.318181818182	209.227272727273	219.909090909091	227.090909090909	223.047619047619	220.7	221.857142857143	226.590909090909	231.095238095238
burd1238	-23.462142	115.053485	115.053485	222.613492063492	9.63315648160605	236.409090909091	229.238095238095	232.727272727273	224.545454545455	234.636363636364	219.136363636364	221.863636363636	205.095238095238	212.1	213.428571428571	218.181818181818	224
darl1243	-32.801982	142.510907	142.510907	205.367658730159	22.4257069353476	230.636363636364	220.142857142857	224.818181818182	218.227272727273	217.409090909091	212.318181818182	214.727272727273	178.047619047619	164.65	168.904761904762	199.863636363636	214.666666666667
dhal1245	-22.645518	114.576484	114.576484	223.037012987013	9.56414685247724	236.318181818182	229.761904761905	233.136363636364	224.818181818182	235	219.681818181818	222.454545454545	205.380952380952	212.6	213.857142857143	218.863636363636	224.571428571429
dhan1270	-11.95	135.75	135.75	223.9238997114	7.3921473135892	218.045454545455	234.333333333333	234.136363636364	220.454545454545	218.045454545455	229.545454545455	216.545454545455	212.714285714286	221.05	222.333333333333	227.454545454545	232.428571428571
dhar1247	-24.103312	115.59019	115.59019	221.981655844156	9.18742985257802	236	228.428571428571	232.318181818182	224.5	223.454545454545	228.772727272727	220.909090909091	204.333333333333	211.65	212.714285714286	217.318181818182	223.380952380952
djau1244	-13.919553	132.860985	132.860985	224.363924963925	4.82822236659074	221.181818181818	233.285714285714	233.318181818182	221.590909090909	220.772727272727	221.454545454545	228	223.285714285714	220.8	221.761904761905	226.772727272727	220.142857142857
djin1253	-12.220231	134.814753	134.814753	222.889502164502	6.26088968128932	219.318181818182	233.428571428571	222.090909090909	220.318181818182	209.227272727273	219.909090909091	227.090909090909	223.047619047619	220.7	221.857142857143	226.590909090909	231.095238095238
djiw1241	-23.435413	116.247889	116.247889	222.613492063492	9.63315648160605	236.409090909091	229.238095238095	232.727272727273	224.545454545455	234.636363636364	219.136363636364	221.863636363636	205.095238095238	212.1	213.428571428571	218.181818181818	224
dyaa1242	-16.760801	145.503712	145.503712	212.008225108225	9.48695310374562	221.045454545455	220.571428571429	210.772727272727	210.590909090909	209.363636363636	207.863636363636	223.636363636364	197.857142857143	216.3	217.142857142857	191.954545454545	217
erre1238	-12.357651	132.949648	132.949648	225.842622655123	5.46084870603983	219.363636363636	233.47619047619	232.681818181818	220.090909090909	219.227272727273	231.090909090909	228.227272727273	223.666666666667	221.25	222.380952380952	227.227272727273	231.428571428571
gami1243	-30.864312	150.080156	150.080156	196.904707792208	17.9163638314984	219.545454545455	200.095238095238	204.681818181818	208.318181818182	207.363636363636	203.136363636364	205.590909090909	175.238095238095	178.85	162.571428571429	181.227272727273	216.238095238095
gupa1247	-12.489152	135.800677	135.800677	221.417117604618	6.0644306194861	218.863636363636	233.285714285714	221.818181818182	220.363636363636	218.681818181818	219.181818181818	215.818181818182	211.52380952381	219.75	220.857142857143	225.909090909091	230.952380952381
gura1252	-12.22458	134.294174	134.294174	222.889502164502	6.26088968128932	219.318181818182	233.428571428571	222.090909090909	220.318181818182	209.227272727273	219.909090909091	227.090909090909	223.047619047619	220.7	221.857142857143	226.590909090909	231.095238095238
gurd1238	-16.966976	142.003562	142.003562	222.723286435786	7.07006053628526	219.954545454545	232.380952380952	232.454545454545	220.545454545455	219.545454545455	230.681818181818	216.363636363636	210.238095238095	217.95	219.190476190476	224.136363636364	229.238095238095
guri1247	-17.569568	130.550451	130.550451	224.826551226551	5.23852281742306	222.863636363636	230.428571428571	232.5	222.409090909091	233.045454545455	221.409090909091	226.5	220.52380952381	217.7	218.666666666667	223.681818181818	228.190476190476
iwai1244	-11.587917	132.765931	132.765931	224.320003607504	6.29850648066064	218.454545454545	234.333333333333	233.454545454545	219.909090909091	229.454545454545	220.136363636364	228.045454545455	213.714285714286	222.05	222.857142857143	227.954545454545	221.47619047619
kara1476	-18.982888	122.305377	122.305377	226.32784992785	6.45076465565593	233.545454545455	231.571428571429	234.045454545455	223.636363636364	232.727272727273	231.454545454545	225.636363636364	219.238095238095	216.3	217.52380952381	222.636363636364	227.619047619048
kuka1246	-20.417286	127.194938	127.194938	223.081944444444	8.33612093113103	223.863636363636	230.619047619048	232.909090909091	223.545454545455	233.681818181818	230.909090909091	214.318181818182	207.714285714286	215.15	216.380952380952	221.272727272727	226.619047619048
kuku1273	-16.123311	145.04087	145.04087	212.008225108225	9.48695310374562	221.045454545455	220.571428571429	210.772727272727	210.590909090909	209.363636363636	207.863636363636	223.636363636364	197.857142857143	216.3	217.142857142857	191.954545454545	217
lara1258	-12.592844	130.884252	130.884252	222.119372294372	8.28602610864443	218.454545454545	233.333333333333	232.545454545455	219.636363636364	229.227272727273	210.136363636364	228.318181818182	223.904761904762	221.4	222.571428571429	206	219.904761904762
lard1243	-16.555193	139.404103	139.404103	223.801821789322	6.57944225149718	228.227272727273	231.809523809524	232.090909090909	219.863636363636	227.818181818182	218.772727272727	226.090909090909	210.428571428571	218.15	219.047619047619	224.227272727273	229.095238095238
mang1382	-12.153366	132.925804	132.925804	225.842622655123	5.46084870603983	219.363636363636	233.47619047619	232.681818181818	220.090909090909	219.227272727273	231.090909090909	228.227272727273	223.666666666667	221.25	222.380952380952	227.227272727273	231.428571428571
mara1385	-15.380854	135.512859	135.512859	224.076641414141	4.77342603804448	231.636363636364	232.095238095238	222.318181818182	221.363636363636	220.181818181818	219.636363636364	226.636363636364	221.809523809524	218.95	220	224.863636363636	229.428571428571
maun1240	-11.815083	133.361102	133.361102	224.320003607504	6.29850648066064	218.454545454545	234.333333333333	233.454545454545	219.909090909091	229.454545454545	220.136363636364	228.045454545455	213.714285714286	222.05	222.857142857143	227.954545454545	221.47619047619
muru1266	-28.863221	146.994851	146.994851	210.781998556999	16.0870761335802	231.727272727273	223	227.045454545455	209.727272727273	229.590909090909	214.727272727273	217.136363636364	191.238095238095	189.2	184.904761904762	203.181818181818	207.904761904762
naka1260	-12.12184	134.42581	134.42581	222.889502164502	6.26088968128932	219.318181818182	233.428571428571	222.090909090909	220.318181818182	209.227272727273	219.909090909091	227.090909090909	223.047619047619	220.7	221.857142857143	226.590909090909	231.095238095238
ngad1258	-31.998006	124.06432	124.06432	210.76231962482	19.4969012436698	230.727272727273	221.285714285714	225.772727272727	219.272727272727	227.863636363636	221.454545454545	214.727272727273	193.52380952381	172.15	177.095238095238	209.227272727273	216.047619047619
