glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
ngad1258	-31.998006	124.06432	124.06432	27814	24494	20079	15330	10901	9749	10610	13821	18564	23121	26129	28741	6964.99444788658	19112.75
ngan1295	-14.023335	135.150681	135.150681	21414	20634	21028	20492	18721	17922	18945	20998	23253	24241	24059	22347	2041.73628576417	21171.1666666667
ngar1284	-16.046993	126.020819	126.020819	22500	21605	21754	21237	18694	17776	18730	21326	24112	25723	25926	24476	2710.77590787717	21988.25
ngar1296	-20.276244	119.448936	119.448936	26255	24711	23283	20727	16825	15698	16915	19837	23763	27050	28807	28306	4621.02307559176	22681.4166666667
nugu1241	-32.830927	138.253839	138.253839	28147	25185	21086	15598	11011	9165	9829	13170	17599	22288	25930	28222	7149.62708287939	18935.8333333333
nyam1271	-21.328174	119.768753	119.768753	26929	25176	23288	20249	16386	15220	16438	19496	23690	27018	28886	28895	4971.63752289836	22639.25
nyan1301	-20.574666	121.876871	121.876871	26211	24192	23088	20724	17045	15814	17024	20079	23794	26871	28345	27862	4411.19638396193	22587.4166666667
pini1245	-28.5	112	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thay1249	-14.84318	141.851149	141.851149	21874	20688	20456	19032	17505	17007	18268	20462	23257	24450	24070	22651	2516.42914391875	20810
tiwi1244	-11.558449	130.812402	130.812402	18958	18813	19839	20437	19021	18326	19149	20946	22592	23240	22626	20570	1674.08110253918	20376.4166666667
urni1239	-12.50036	133.023963	133.023963	20182	19866	20542	20585	19005	18325	19341	21096	22954	23879	23645	21562	1798.14251803118	20915.1666666667
wadj1254	-13.204044	130.243534	130.243534	20038	19494	20554	21105	19428	18691	19743	21544	23253	23935	23089	21447	1687.58698765696	21026.75
wage1238	-13.930709	131.13272	131.13272	20537	19950	20890	21210	19407	18610	19641	21608	23608	24308	23597	22239	1828.57169587897	21300.4166666667
waja1257	-26.172012	117.2694	117.2694	29229	26383	22813	17098	13753	12103	13481	17121	22130	26597	29186	30811	6795.84229120789	21725.4166666667
walm1241	-19.69025	125.748475	125.748475	25211	23829	23058	21311	18003	16822	17989	20739	24095	26194	27021	26355	3544.66498288754	22552.25
wand1263	-14.454448	135.456487	135.456487	21764	20942	21198	20565	18737	17928	19027	21053	23417	24351	24151	22521	2077.3687246567	21304.5
wany1247	-18.198094	137.479327	137.479327	23817	22704	22435	20662	18117	16985	18298	20745	23724	24985	25194	24593	2857.83473211111	21854.9166666667
wari1262	-25.00479	116.318018	116.318018	29213	26363	23018	17628	14269	12529	13842	17486	22410	26843	29177	30645	6588.22342528812	21951.9166666667
warl1254	-20.58751	130.858901	130.858901	25908	24533	23492	21257	17985	16518	17748	20472	23627	25481	26176	26252	3553.00350429255	22454.0833333333
wemb1241	-35.566891	143.607655	143.607655	26250	23758	19028	13574	9300	7584	8407	11249	15431	19889	23942	26472	7074.93102225718	17073.6666666667
wikn1245	-13.71741	141.637262	141.637262	21368	20247	19959	18874	17537	17194	18289	20357	23006	24204	23908	22446	2404.77215420429	20615.75
wong1246	-27.603503	142.447239	142.447239	27523	25178	22516	18318	13918	12332	13295	16505	20674	24229	26915	28643	5861.85516451038	20837.1666666667
yann1237	-12.037377	135.568849	135.568849	20229	19851	20163	19870	18397	17817	18702	20385	22436	23218	22927	21266	1743.54479350824	20438.4166666667
yany1243	-15.725592	136.350689	136.350689	22612	21468	21595	20691	18654	17753	18960	21099	23695	24618	24441	23194	2269.59279487433	21565
yayg1236	-29.656271	153.181363	153.181363	23344	20875	18434	14592	11383	10398	11468	14720	18731	20886	23079	24306	5016.87434987406	17684.6666666667
yind1247	-22.010657	117.589981	117.589981	27528	25447	23163	19262	15630	14302	15559	18764	23200	26927	28839	29023	5425.42251950496	22303.6666666667
yinh1234	-23.501607	118.871252	118.871252	27958	25827	22877	18654	15084	13711	14983	18395	23106	27025	28993	29495	5815.82526518391	22175.6666666667
yiry1245	-15.125675	142.050341	142.050341	22068	20685	20354	18999	17461	16868	18265	20445	23281	24464	24016	22557	2544.75858681163	20788.5833333333
yuwa1242	-29.574185	147.900172	147.900172	25784	23148	20518	16147	12186	10647	11606	14877	19127	22195	25190	26761	5802.16695413329	19015.5
yuwa1243	-28.872217	148.671974	148.671974	25304	22896	20426	16176	12370	11085	11949	15249	19403	22296	25069	26537	5559.06657196288	19063.3333333333
