glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
lara1258	-12.592844	130.884252	274	104	60	1699	346	175	171	282	248	292	248	1567	375	1	106	1018	6	432	6	2.44144131908683	-2.20977578822266	1.15219150540551	130.884252
lard1243	-16.555193	139.404103	263	90	50	3061	337	158	179	287	230	294	217	1229	320	0	122	916	3	534	7	1.84729078101989	-2.20285818155403	1.33362337736748	139.404103
mang1382	-12.153366	132.925804	277	106	62	1635	356	186	170	283	252	295	252	1419	334	1	109	952	7	343	7	2.34566443398939	-2.48944223378802	0.758738780014782	132.925804
mara1385	-15.380854	135.512859	274	124	54	3290	375	149	226	298	225	310	225	868	219	1	114	616	4	365	4	1.3035964814511	-3.18919812563041	0.171409551874156	135.512859
maun1240	-11.815083	133.361102	275	87	59	1618	342	196	146	283	256	292	250	1265	293	1	107	824	4	282	5	2.12083330665366	-2.29792923433168	0.36505949733902	133.361102
muru1266	-28.863221	146.994851	205	143	46	5923	354	48	306	270	126	278	126	422	61	19	36	156	70	154	70	-1.14415238770601	-2.02726610444157	-1.69069027145815	146.994851
naka1260	-12.12184	134.42581	270	95	60	1820	337	179	158	281	248	289	242	1212	289	0	110	807	1	505	3	2.06740350922632	-2.24195555855418	0.758298327567897	134.42581
ngad1258	-31.998006	124.06432	176	143	53	4347	318	50	268	151	230	230	119	256	30	17	20	79	55	55	67	-1.59186571871967	-1.39419378876412	-2.3943619434702	124.06432
ngan1295	-14.023335	135.150681	272	117	56	2748	365	159	206	290	231	302	231	1019	247	1	111	701	5	433	5	1.59187982053466	-2.849473315397	0.418142883336502	135.150681
ngar1284	-16.046993	126.020819	259	118	56	2876	351	141	210	277	215	288	215	1117	284	2	111	769	16	524	16	1.51802143255021	-2.46559046747738	0.866363019600448	126.020819
ngar1296	-20.276244	119.448936	276	140	55	4143	391	137	254	319	255	320	217	359	104	2	107	245	11	210	37	0.628314335695796	-3.86547849029288	-1.08955580114089	119.448936
nugu1241	-32.830927	138.253839	162	134	49	5075	311	39	272	105	224	226	97	400	48	19	33	138	57	59	134	-1.81767119100288	-1.04070868399062	-2.06946341445455	138.253839
nyam1271	-21.328174	119.768753	267	157	51	5211	411	107	304	319	242	324	193	336	82	1	89	202	11	189	41	0.128401058216429	-3.97479147906913	-1.35072296696791	119.768753
nyan1301	-20.574666	121.876871	264	147	53	4597	385	110	275	309	242	313	198	349	99	2	105	236	7	216	24	0.240783042114737	-3.79862518636412	-0.992039159992321	121.876871
pini1245	-28.5	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112
thay1249	-14.84318	141.851149	267	119	60	2192	355	159	196	281	234	290	234	1277	361	1	126	981	4	553	4	2.17815652652165	-2.62348107782943	1.50345712847518	141.851149
tiwi1244	-11.558449	130.812402	272	93	63	1392	332	186	146	279	249	285	249	1726	370	3	100	1070	12	478	12	2.6454229446397	-1.78593982296211	1.19082283546553	130.812402
urni1239	-12.50036	133.023963	278	116	61	1809	366	178	188	285	250	298	250	1449	338	1	110	975	5	373	5	2.32607669588474	-2.65815091367574	0.8698545486467	133.023963
wadj1254	-13.204044	130.243534	276	114	60	1978	357	168	189	286	245	296	245	1391	323	1	106	905	5	382	5	2.13304417611831	-2.55546648245164	0.755522999640297	130.243534
wage1238	-13.930709	131.13272	274	134	58	2553	374	146	228	287	235	301	235	1193	289	1	107	774	5	343	5	1.66602144901746	-3.02485712353332	0.47009995924721	131.13272
waja1257	-26.172012	117.2694	227	143	44	6358	393	73	320	155	221	306	144	191	34	4	59	79	16	57	68	-1.30938277874466	-2.83762627763038	-2.10916493907088	117.2694
