glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
buru1303	-3.489321	126.66412	229	67	73	715	279	188	91	223	229	236	219	2052	320	73	40	816	300	449	577	2.78148087082783	1.4434917457036	-0.691721976805266	126.66412
buru1303	-3.44	126.63	229	67	73	715	279	188	91	223	229	236	219	2052	320	73	40	816	300	449	577	2.78148087082783	1.4434917457036	-0.691721976805266	126.63
buso1238	-5.61	122.62	264	81	76	577	316	210	106	266	260	269	255	1870	252	39	49	724	132	444	316	2.79944736604563	-0.309038040493136	-0.756609463141748	122.62
cavi1250	-13.622401	293.142578	261	114	71	1053	337	178	159	267	245	270	245	1599	281	36	59	714	135	475	178	2.35721967180217	-1.08638294452364	-0.3532875439529	-66.857422
cavi1250	-13.3544	293.3723	261	115	71	984	339	178	161	266	247	270	246	1568	274	36	60	706	118	341	159	2.22505268258597	-1.27230051997366	-0.555666176725769	-66.6277
cayu1262	-13.2482	294.5178	264	121	71	877	348	178	170	267	253	273	251	1482	249	18	64	683	73	355	109	2.0847905641987	-1.74489183181223	-0.51541166882915	-65.4822
cent1394	25.586343	106.323467	168	86	34	5994	286	35	251	228	83	238	83	1298	248	16	75	667	61	660	61	-0.552230497687189	-0.190295626695342	1.23645309032065	106.323467
cent2050	12	13	257	151	56	2883	382	115	267	257	220	294	217	580	207	0	138	457	0	110	0	0.529257521573747	-3.90255531618777	-0.123579819107276	13
cent2074	-8.68	121.05	233	105	76	781	298	160	138	237	223	242	221	1575	288	23	69	769	95	467	111	1.94017447322513	-0.780612012514372	0.124510349498713	121.05
cent2128	63.43	189.73	-40	60	20	8287	100	-186	286	40	-22	64	-144	419	78	15	54	192	55	182	73	-5.6706142123458	2.63015424349728	0.536292722892553	-170.27
cent2128	63.43	189.73	-40	60	20	8287	100	-186	286	40	-22	64	-144	419	78	15	54	192	55	182	73	-5.6706142123458	2.63015424349728	0.536292722892553	-170.27
cent2128	63.43	189.73	-40	60	20	8287	100	-186	286	40	-22	64	-144	419	78	15	54	192	55	182	73	-5.6706142123458	2.63015424349728	0.536292722892553	-170.27
cent2142	-17	291.5	61	164	66	2384	170	-75	245	84	28	84	26	510	134	3	95	309	15	309	19	-3.06293316731536	-0.153451024059017	0.678944085434162	-68.5
cent2355	-8.7067	121.1901	239	104	75	754	303	166	137	242	229	247	227	1429	260	20	68	693	88	425	105	1.84634742831852	-0.985221441603846	-0.169594607087941	121.1901
chac1249	0.71489	280.9492	252	87	85	417	305	203	102	257	247	257	247	2839	366	111	38	1045	431	1045	483	4.34636671870663	1.85815062533954	0.31154161934248	-79.0508
chac1251	-11.811339	293.560059	263	114	69	862	342	179	163	267	251	272	250	1530	271	24	63	715	105	365	146	2.20798450696844	-1.43674112252652	-0.445437750520088	-66.439941
chac1251	-12.133	293.2836	263	114	70	913	341	180	161	267	250	272	249	1550	270	29	61	713	110	367	147	2.23686695839347	-1.36134141854687	-0.491124134180845	-66.7164
chad1240	25.23532	109.96041	188	87	31	7075	323	43	280	255	112	270	92	1789	351	48	68	900	160	734	192	0.473592414420251	0.191112413550634	1.52405953122344	109.96041
cham1309	42.5024	45.995	5	103	32	7345	169	-145	314	77	-91	96	-91	858	137	22	56	381	73	348	73	-4.48170025460367	1.79717987127026	0.990507578370818	45.995
chec1245	43.315979	45.685017	111	100	27	9473	302	-60	362	209	-1	230	-13	471	76	22	43	198	68	183	70	-3.20057879929066	-0.368227474982079	-0.586036206848544	45.685017
chec1245	43.5	45.5	105	101	27	9484	297	-66	363	204	-6	225	-19	488	80	22	46	208	69	193	69	-3.27816775847706	-0.310068966421908	-0.467278540111064	45.5
chek1238	-8.27055	159.625	255	73	85	399	297	212	85	258	249	258	248	2992	404	158	33	1130	536	1009	553	4.82806991269025	2.70769875149761	0.145043998014735	159.625
chep1245	27.7206	84.9017	170	107	46	4551	265	33	232	215	112	215	102	2036	511	9	105	1314	39	1314	48	1.20524348195356	0.263598534975897	4.23133771139095	84.9017
chew1245	3.8807	102.456	260	99	87	576	318	205	113	256	262	266	251	2208	286	116	28	782	409	506	594	3.63514654919451	1.14911358798253	-1.41701835948121	102.456
chib1270	6.24999	285.8334	274	98	91	233	329	222	107	271	276	276	271	2659	371	78	36	912	378	378	912	4.3383623037333	1.02693952772992	-1.22283949082408	-74.1666
chip1262	-18.73951	292.10367	85	180	68	2832	197	-65	262	114	43	114	43	279	93	1	132	218	4	218	4	-2.96461655457527	-1.40461170679837	0.584637788020216	-67.89633
chir1284	41.869481	47.41111	9	98	31	7168	169	-138	307	79	-84	98	-84	649	111	14	57	295	53	251	53	-4.66075926649992	1.54570379903354	0.666690513698448	47.41111
chon1284	12.5218	102.514	270	89	64	989	333	194	139	270	257	281	255	2287	403	14	71	1076	76	474	123	3.04864822782802	-0.935107412212593	0.829115334161341	102.514
chuk1273	68.64	170.04	-132	104	19	16198	167	-368	535	86	-171	86	-315	176	32	5	57	80	16	80	36	-8.31721730994792	1.73295073374624	1.05670513243546	170.04
chuk1273	68.64	170.04	-132	104	19	16198	167	-368	535	86	-171	86	-315	176	32	5	57	80	16	80	36	-8.31721730994792	1.73295073374624	1.05670513243546	170.04
chur1257	43.955965	22.871767	117	96	30	7877	286	-32	318	199	173	215	13	576	73	36	22	187	116	166	129	-2.45167009110908	0.0746309454110872	-1.36114779945728	22.871767
chur1257	43.7171	22.8442	110	96	30	7699	275	-38	313	189	166	205	8	606	76	38	22	197	122	174	135	-2.54131562247452	0.276949713765062	-1.28441404324785	22.8442
chuv1255	55.49	47.16	38	82	20	11423	246	-158	404	181	-98	181	-110	535	72	21	36	199	73	199	85	-4.74474014433144	0.934866720666458	0.0452875710665603	47.16
