glottocode	longitude	longitude_180	latitude	elevation
buna1278	125.323406	125.323406	-9.033683	355
buna1278	125.225417	125.225417	-9.221923	211
bura1292	12.3007	12.3007	10.4822	445
buri1258	107.6	107.6	51.83	711
buru1296	74.82	74.82	36.22	4466
buru1303	126.66412	126.66412	-3.489321	599
buru1303	126.63	126.63	-3.44	599
cavi1250	293.142578	-66.857422	-13.622401	166
cavi1250	293.3723	-66.6277	-13.3544	163
cayu1262	294.5178	-65.4822	-13.2482	143
cent1394	106.323467	106.323467	25.586343	1029
cent2050	13	13	12	319
cent2128	189.73	-170.27	63.43	20
cent2128	189.73	-170.27	63.43	20
cent2128	189.73	-170.27	63.43	20
cent2142	291.5	-68.5	-17	4023
chac1249	280.9492	-79.0508	0.71489	321
chac1251	293.560059	-66.439941	-11.811339	164
chac1251	293.2836	-66.7164	-12.133	164
chad1240	109.96041	109.96041	25.23532	636
cham1309	45.995	45.995	42.5024	1725
chec1245	45.685017	45.685017	43.315979	175
chec1245	45.5	45.5	43.5	218
chep1245	84.9017	84.9017	27.7206	1077
chew1245	102.456	102.456	3.8807	194
chib1270	285.8334	-74.1666	6.24999	428
chip1262	292.10367	-67.89633	-18.73951	3723
chir1284	47.41111	47.41111	41.869481	2383
chon1284	102.514	102.514	12.5218	256
chuk1273	170.04	170.04	68.64	22
chuk1273	170.04	170.04	68.64	22
chur1257	22.871767	22.871767	43.955965	113
chur1257	22.8442	22.8442	43.7171	288
chuv1255	47.16	47.16	55.49	151
ciba1236	12.902	12.902	10.8977	442
cine1238	13.8187	13.8187	11.1319	382
clas1254	91.158704	91.158704	30.027852	4169
cofa1242	282.9357	-77.0643	0.276675	436
colo1256	280.7653	-79.2347	-0.21181	406
croa1245	16.83	16.83	45.2	145
croa1245	15.992661	15.992661	45.813486	301
czec1258	15.1	15.1	49.87	279
czec1258	14.468136	14.468136	50.071244	350
czec1258	15.10437	15.10437	49.873398	279
dani1285	12.583182	12.583182	55.679885	20
dani1285	9.36284	9.36284	54.8655	23
darg1241	47.44	47.44	42.43	1611
darg1241	47.4388	47.4388	42.4257	1611
dass1243	9.51838	9.51838	9.9325	687
dera1245	140.947	140.947	-3.52309	376
dera1248	12.0256	12.0256	10.072	339
dghw1239	13.77847	13.77847	11.05751	503
dido1241	45.81	45.81	42.26	1911
dido1241	45.8096	45.8096	42.2646	1911
dobe1238	134.64	134.64	-6.33	2
dong1286	100.178	100.178	25.435	2126
dong1287	107.957327	107.957327	24.201523	466
drun1238	98.691868	98.691868	27.749017	2974
dutc1256	5	5	52	1
dutc1256	6	6	52.5	6
dutc1256	4.898126	4.898126	52.374367	0
dzao1238	112.266749	112.266749	24.612303	521
east1436	87.62008333	87.62008333	27.59470333	4018
east2295	20.148303	20.148303	51.959579	132
east2295	19.42	19.42	51.75	193
east2328	48.405	48.405	55.8307	77
east2328	49.5	49.5	57	151
east2370	110.499463	110.499463	27.78098	446
east2371	109.890473	109.890473	28.124036	313
east2555	296.63	-63.37	-20.42	848
ekaa1234	99.865	99.865	23.475	1639
elam1244	48.2333	48.2333	31.1833	12
emab1235	106.030277	106.030277	23.604572	849
enap1235	294.1517	-65.8483	6.95035	184
eree1240	101.445432	101.445432	31.639053	4140
eryu1239	99.91	99.91	26.538056	2930
erzy1239	45.5	45.5	53	219
erzy1239	45.3901	45.3901	52.8548	205
esee1248	292.485	-67.515	-11.7268	185
esto1258	24.75	24.75	59.25	36
esto1258	25.82	25.82	58.55	53
even1259	105.3	105.3	65.75	410
even1259	105.3	105.3	65.75	410
fali1285	13.4087	13.4087	10.5419	553
finn1318	24.45	24.45	61	117
finn1318	24.941099	24.941099	60.173335	6
finn1318	25.5577	25.5577	64.7628	33
fore1265	88.21	88.21	69.98	69
gaan1243	12.6479	12.6479	10.2955	470
gali1262	304	-56	5.5	16
gaww1239	37.25	37.25	5.5	1029
gdon1234	102.159643	102.159643	32.159653	3999
geji1246	9.64965	9.64965	10.3478	648
ghar1239	159.917	159.917	-9.4791	351
ghod1238	46.2252	46.2252	42.7428	1061
ghul1238	29.8122	29.8122	11.6432	667
goem1240	9.72453	9.72453	8.74455	175
gree1278	104.698	104.698	22.5632	365
gude1246	13.403	13.403	10.2138	556
gudu1250	12.5359	12.5359	10.1206	474
guib1244	106.2	106.2	24.3	783
guri1247	130.379	130.379	-17.0329	289
guri1247	130.667	130.667	-17.6667	294
guru1261	86.28988	86.28988	27.41687	1809
guuu1237	122.617786	122.617786	-5.344488	91
habu1241	125.97	125.97	-8.77	276
halh1238	106.29	106.29	48.32	1406
hani1248	102.8516733	102.8516733	22.67753	1186
haus1257	8.7804	8.7804	11.1513	600
haus1257	7	7	12	575
hawa1245	204.5	-155.5	19.5833	1762
hawa1245	204.57	-155.43	19.6297	1373
hebr1245	35.02	35.02	31.11	352
heqi1238	99.9416161	99.9416161	26.0991374	2719
high1278	262.4444	-97.5556	20.1554	1134
hind1269	78	78	27.2	166
hind1269	80.335868	80.335868	25.458226	126
hind1269	77	77	25	390
hinu1240	45.8064	45.8064	42.4502	1761
hitt1242	34.621158	34.621158	40.013951	1150
hitt1242	35	35	40	1100
hlai1239	109.459	109.459	18.8062	468
hmon1333	105	105	26	1640
huba1236	13.139	13.139	10.3544	509
hung1274	19.66	19.66	46.91	115
hung1274	19.040247	19.040247	47.497865	161
hung1274	19.65552714	19.65552714	46.90685857	115
hunz1247	46.1369	46.1369	42.0808	1624
hupd1244	290.75	-69.25	0.166667	138
huuu1240	100.881	100.881	22.0163	777
hwan1240	12.7683	12.7683	10.3633	470
icel1247	340.98	-19.02	63.48	207
icel1247	338.060328	-21.939672	64.144237	97
idat1237	125.9262	125.9262	-8.7719	276
idat1237	125.991368	125.991368	-8.671212	276
igna1246	294.6007	-65.3993	-15.1188	162
ihaa1241	132.1958	132.1958	-2.7064	131
ihaa1241	132.3373	132.3373	-2.7432	131
imba1240	282	-78	0.333333	2821
inan1242	132.16	132.16	-2.08	44
inar1241	27.87	27.87	69.42	236
indo1316	109.72	109.72	-7.33	984
indo1316	109.716	109.716	-7.33458	984
indo1317	122.42932	122.42932	-4.742282	89
indo1319	31.897499	31.897499	47.688327	119
ingu1240	44.750595	44.750595	43.467736	378
ingu1240	45.03	45.03	43.11	832
iraq1241	35.5	35.5	-4	1375
iris1253	352.38	-7.62	53.22	78
iris1253	350.698899	-9.301101	53.244432	24
iris1253	352.38491	-7.61509	53.2186	78
iron1242	44.61	44.61	42.98	2055
ital1282	12.65	12.65	43.05	736
ital1282	12.385145	12.385145	43.115956	433
ital1282	12.6489	12.6489	43.0464	736
itel1242	156.91	156.91	56.78	60
itel1242	156.91	156.91	56.78	60
iton1250	295.55957	-64.44043	-12.670255	145
iton1250	295.64252	-64.35748	-12.80431	145
iumi1238	110.054488	110.054488	24.172823	319
iyoj1235	296.7617	-63.2383	-22.1896	373
jama1262	282.7388	-77.2612	18.13	216
jian1239	100.1396921	100.1396921	26.5536208	2694
jing1260	97.329866	97.329866	25.461826	286
jion1236	110.105752	110.105752	24.071002	578
jire1238	86.3201	86.3201	27.6931	3045
jude1256	48.264749	48.264749	42.068306	290
kach1280	97.3278	97.3278	25.4634	286
kach1280	97.2	97.2	25.28	216
kaik1246	83.1384	83.1384	28.853	4373
kain1272	307.4606	-52.5394	-27.7671	682
kajt1238	47.776611	47.776611	42.052428	899
kala1399	307.14	-52.86	69.38	727
kama1365	124.8515	124.8515	-8.2543	168
kamb1299	120.450471	120.450471	-9.953635	243
kamb1299	120.23	120.23	-9.88	451
kamw1239	13.5136	13.5136	10.646	673
kara1474	46.3151	46.3151	42.6501	1778
kara1499	132.721147	132.721147	-3.481154	123
kara1500	309.6508	-50.3492	-11.1881	187
kare1335	30.87	30.87	65.17	121
kare1348	10.8732	10.8732	12.5176	346
karo1304	236.685	-123.315	41.8228	1461
karo1304	236.685	-123.315	41.8228	1461
kaza1248	73.15	73.15	49.8	552
kaza1248	71.460067	71.460067	51.157374	364
kekc1242	270.1667	-89.8333	16	403
kema1243	125.127782	125.127782	-8.999982	263
kema1243	124.889898	124.889898	-8.977051	17
kema1243	124.942512	124.942512	-9.067662	401
kett1243	87.55	87.55	63.76	31
kett1243	87	87	64	37
khal1275	87.5053	87.5053	27.3912	2399
khan1273	66.1218	66.1218	62.4308	45
khan1273	66.12	66.12	62.43	45
khap1242	105	105	18.25	685
khas1269	91.9998	91.9998	24.977	195
khin1240	48.127456	48.127456	41.175584	1904
khin1240	48.0571	48.0571	41.1801	1904
khun1259	99.3363	99.3363	19.6062	992
khva1239	45.9977	45.9977	42.2743	2085
kild1236	37	37	67	175
kild1236	35.83	35.83	68.22	254
kimm1245	109.86012	109.86012	18.955781	271
kira1248	124.8334	124.8334	-8.3847	168
kiry1234	13.36	13.36	10.48	596
komi1268	54.946	54.946	64.0527	168
komi1268	54.95	54.95	64.05	168
komi1269	54.8	54.8	59.66	161
komy1238	140.213	140.213	-5.25453	366
kore1280	128	128	37.5	459
koro1312	140.047	140.047	-5.26952	146
kryt1240	48.191748	48.191748	41.180749	1904
kryt1240	48.1846	48.1846	41.1811	1904
kuba1248	47.601843	47.601843	42.08504	1838
kuco1235	101.25	101.25	22.26	935
kula1280	124.9309167	124.9309167	-8.2584306	168
kumy1244	47	47	43	187
kunz1244	291	-69	-23	2697
kusa1251	157.463	157.463	-8.04056	3
kusa1252	124.822642	124.822642	-9.4684	70
labi1245	9.59527	9.59527	10.4847	603
lahu1252	100.97	100.97	21.2078	840
lakk1238	110.106	110.106	24.1169	578
lakk1252	47.08	47.08	42.13	2595
lakk1252	47.0809	47.0809	42.1328	2595
lame1257	8.78768	8.78768	10.7229	815
lang1316	106.016896	106.016896	23.550258	849
lanp1241	99.2581092	99.2581092	26.5158555	2887
larg1235	103.698607	103.698607	27.096059	2041
lati1261	12.45	12.45	41.9	127
lati1261	12.4923	12.4923	41.890189	127
lati1261	12.4502	12.4502	41.9026	127
latv1249	24.31	24.31	56.83	21
latv1249	24.113274	24.113274	56.915	11
latv1249	24.309118	24.309118	56.826108	21
leng1262	301.0947	-58.9053	-22.6559	104
lepc1244	88.34	88.34	27.05	1946
lezg1247	47.8951	47.8951	41.5157	1819
lezg1247	47.9	47.9	41.52	1819
lezg1247	48.038979	48.038979	41.553811	1819
lezg1247	47.8951	47.8951	41.5157	1819
lisu1250	98.94	98.94	26.91	3619
lith1251	23.96	23.96	55.14	58
lith1251	25.255852	25.255852	54.680183	143
lith1251	23.9601	23.9601	55.1429	58
livv1243	33	33	61	38
livv1244	22.03	22.03	57.57	19
lixi1238	103.276061	103.276061	31.617273	2686
lowe1385	14.3333	14.3333	51.75	99
lule1254	17.81	17.81	67.28	1226
luop1235	107.913354	107.913354	26.63966	933
luop1235	107.226676	107.226676	26.854607	1130
luuu1242	101.282	101.282	21.0321	875
lydi1241	28.040288	28.040288	38.488284	561
maca1260	302.6306	-57.3694	-25.0119	82
macu1259	299.7791	-60.2209	4.31861	327
maer1238	102.42	102.42	28.33	2537
maer1238	102.212059	102.212059	31.915985	3872
maer1238	102.484959	102.484959	31.864114	3786
mafa1239	13.8181	13.8181	10.943	503
maha1287	77.5317	77.5317	31.0088	2258
maka1316	126.507	126.507	-8.65843	177
mala1464	76.77	76.77	9.59	123
mamb1306	125.563692	125.563692	-8.888349	260
mamb1306	125.592092	125.592092	-8.619529	599
mamb1306	125.7084	125.7084	-8.728878	523
mamb1306	125.380998	125.380998	-8.623507	506
mamb1306	125.357167	125.357167	-8.776468	506
mamb1306	125.466788	125.466788	-8.674155	599
mamb1306	125.647294	125.647294	-8.974955	260
mana1288	84.25	84.25	28	920
manc1252	126.56	126.56	47.31	205
mand1415	116.228	116.228	40.0209	106
mand1415	116.23	116.23	40.02	106
mand1415	110	110	34	1128
mand1415	116.14	116.14	40.01	106
mand1476	96.191442	96.191442	16.867489	13
mang1378	102.133	102.133	21.4305	945
mang1405	119.933716	119.933716	-8.597801	51
mang1405	120.33	120.33	-8.56	783
manm1238	100.842	100.842	22.0743	777
mans1258	61.344	61.344	64.4118	36
mans1258	61.344	61.344	64.4118	36
mans1258	61.34	61.34	64.41	36
mans1258	61.34	61.34	64.41	36
maon1241	108.024	108.024	25.0169	520
maor1246	178.171952	178.171952	-37.731738	96
maor1246	176.541	176.541	-38.2881	291
mapu1245	288	-72	-38	599
mapu1245	288.723	-71.277	-38.7392	1336
maqu1238	295.6123	-64.3877	4.70705	984
mara1378	74.241441	74.241441	16.697611	612
mara1378	76.6665	76.6665	17.9344	594
masa1322	15.4748	15.4748	10.0606	333
mash1270	289.2047	-70.7953	-11.4745	381
mesm1239	15.7018	15.7018	9.28888	417
mezq1235	261.1667	-98.8333	20.1667	2199
midd1317	359.241378	-1.758622	51.313607	73
midd1317	358.89	-1.11	51.65	108
midd1343	9.717403	9.717403	48.742717	559
midd1343	10.599	10.599	48.254	522
midd1344	116	116	40	395
midd1360	351.365593	-8.634407	52.658918	107
midi1237	126.146467	126.146467	-8.646986	261
mlab1235	101.163	101.163	18.5533	775
moco1246	299.5855	-60.4145	-28.097	63
mode1248	23.75	23.75	38	174
mode1248	23.694334	23.694334	38.028622	174
mode1248	23.13	23.13	38.36	367
moks1248	42.67	42.67	54.19	147
morb1239	132.84	132.84	-2.86	92
morb1239	132.845	132.845	-2.85747	92
mose1249	291.70139	-68.29861	-14.441231	1334
mose1249	292.16244	-67.83756	-14.64448	918
mosk1236	133.15	133.15	-1.62	318
mosk1236	133.145	133.145	-1.62201	318
movi1243	294.327122	-65.672878	-14.164441	152
movi1243	294.3652	-65.6348	-13.8115	149
mula1253	108.928	108.928	24.8151	375
mund1330	302.309	-57.691	-8.41095	162
muya1239	100.326871	100.326871	30.932449	4211
naka1265	140.512	140.512	-5.19377	536
nana1257	134.8	134.8	48.43	43
nanh1240	101.69	101.69	23.43	1309
naxi1245	100	100	27.5	2795
nene1249	71.0234	71.0234	66.1775	33
nene1249	71.02	71.02	66.18	33
nepa1254	85.338319	85.338319	27.695645	1479
nepa1254	85	85	28	1652
newa1246	84.9577	84.9577	27.2614	297
newa1246	84.57	84.57	27.16	195
ngan1291	86.21	86.21	73.14	51
ngan1291	86.21	86.21	73.14	51
ngas1240	9.46146	9.46146	9.32042	544
nggw1242	12.9234	12.9234	10.6058	470
ngiz1242	11.0178	11.0178	12.1051	379
nina1238	297.2199	-62.7801	4.03894	673
nina1238	297.2199	-62.7801	4.03894	673
niva1238	298.2394	-61.7606	-22.8557	197
nort1545	106.682	106.682	26.7238	1178
nort2641	43	43	37	901
nort2646	67.2	67.2	32.1	1920
nort2671	20.272909	20.272909	69.418231	415
nort2671	22.1113	22.1113	68.725	499
nort2671	22.11	22.11	68.72	499
nort2690	67	67	39.65	923
nort2697	46.47	46.47	40.98	246
nort2697	46.4737	46.4737	40.9777	246
nort2697	49.6	49.6	40.4	84
nort2740	100.20739	100.20739	18.857495	578
nort2745	155	155	69	25
nort2747	108.401145	108.401145	26.68993	927
nort2749	106.861969	106.861969	26.231562	1161
nort2770	13.6567	13.6567	9.9249	391
nort2972	282.426	-77.574	7.12761	252
norw1258	10.71	10.71	59.92	150
norw1259	10.740802	10.740802	59.912785	150
nucl1235	45	45	40	1926
nucl1290	99.108	99.108	23.1024	1096
nucl1301	32.87	32.87	39.87	1174
nucl1301	32.857539	32.857539	39.926806	1174
nucl1302	43.79	43.79	41.85	1781
nucl1302	44.824791	44.824791	41.619549	759
nucl1305	76.12	76.12	13.59	734
nucl1310	93.58	93.58	20.48	398
nucl1516	120.97	120.97	-8.53	79
nucl1643	135	135	35	234
nucl1643	140	140	37	707
nucl1649	231.455455	-128.544545	52.59103	341
nucl1649	231.455455	-128.544545	52.59103	341
nucl1683	13.6318	13.6318	10.3521	680
nucl1695	11.2322	11.2322	11.4839	416
nucl1696	11.3228	11.3228	9.75444	317
nuji1238	98.8862088	98.8862088	26.4240223	3105
numa1251	108.064732	108.064732	25.447767	748
nung1283	104.286	104.286	20.8965	634
nunu1247	107.194266	107.194266	24.232341	577
nusu1239	98.8801	98.8801	26.7292	3355
nuuc1236	233.33	-126.67	49.67	374
nuuc1236	233.33	-126.67	49.67	374
nuuc1236	233.33	-126.67	49.67	374
nyah1250	101.515	101.515	15.8909	424
oduu1239	104.106	104.106	19.3497	897
olda1245	37	37	32.84	870
oldb1235	97.126742	97.126742	21.624974	946
oldc1244	114.363827	114.363827	35.962789	117
olde1238	358.685837	-1.314163	51.060696	67
olde1238	358.69	-1.31	51.06	67
oldh1241	9.68333	9.68333	50.55	418
oldh1241	9.962616	9.962616	49.795477	307
oldh1241	10	10	52	191
oldi1245	353.126173	-6.873827	53.726794	113
oldi1245	352	-8	53	106
oldn1244	10.397522	10.397522	63.426975	236
oldn1244	10.38	10.38	63.42	236
olds1252	16.321936	16.321936	58.481083	53
oroq1238	126.111	126.111	51.2829	380
osse1243	44.23	44.23	43.18	791
paez1247	283.6875	-76.3125	2.61516	2611
pahn1237	111.02615	111.02615	27.11733	369
pahn1237	109.286281	109.286281	25.74971	448
panc1247	122.732976	122.732976	-5.276334	178
panj1256	74.349411	74.349411	31.536604	210
pano1254	288.43849	-71.56151	-7.97456	251
paok1235	97.36	97.36	20.13	948
para1311	302.91184	-57.08816	-25.60551	174
pear1247	105.028	105.028	13.593	121
peve1243	14.441	14.441	9.16111	360
phai1238	101.218	101.218	19.0383	912
phon1246	104.088	104.088	19.9622	1072
pila1245	299.8463	-60.1537	-25.0058	123
plat1254	47	47	-20	1571
polc1243	9.53362	9.53362	10.0258	728
poli1260	18.63	18.63	51.84	133
poli1260	20.994015	20.994015	52.237892	100
poli1260	18.6255	18.6255	51.8439	133
port1283	351.9	-8.1	39.91	444
prus1238	19.900799	19.900799	54.436292	32
prus1238	14.757	14.757	52.394	37
psik1239	13.569	13.569	10.677	673
puel1244	291.334	-68.666	-42.223	1358
puin1248	292.3114	-67.6886	3.92974	100
pume1238	292.4004	-67.5996	7.10677	52
puta1243	12.99521	12.99521	10.83854	422
qaua1234	106.16455	106.16455	26.155438	1326
qawa1238	285.292464	-74.707536	-49.303195	525
qawa1238	285.292464	-74.707536	-49.303195	525
qili1234	100.1709288	100.1709288	25.6553283	2126
roma1327	24.23	24.23	46.39	365
roma1327	25	25	46	658
roma1327	26.086373	26.086373	44.427511	72
roma1327	24.2256	24.2256	46.3913	365
rovi1238	157.408	157.408	-8.20493	25
ruma1248	97.3172	97.3172	23.6404	1114
rumb1240	122.011626	122.011626	-4.747008	119
russ1263	39.8	39.8	57.6	115
russ1263	37.64843	37.64843	55.677584	155
russ1263	50	50	59	173
rutu1240	47.32	47.32	41.62	2383
rutu1240	47.3244	47.3244	41.6187	2383
same1240	99.9217	99.9217	24.7859	1813
sana1298	301.62	-58.38	-22.49	91
sans1269	76.28612	76.28612	23.511415	450
sans1269	77	77	20	504
sara1340	304.5	-55.5	4.5	126
sawa1247	127.940678	127.940678	0.480578	320
sawa1247	128.09	128.09	0.51	172
saya1246	9.71748	9.71748	9.69441	573
seka1247	132.47	132.47	-2.66	161
selk1253	82.3	82.3	59.94	81
selk1253	82.3004	82.3004	59.9409	81
shan1274	101.341027	101.341027	31.464691	4140
shan1277	98.0342	98.0342	21.5995	934
shee1238	110.096988	110.096988	26.264261	637
sher1255	86.9994	86.9994	27.674	3879
ship1254	285.1781	-74.8219	-7.17105	256
sich1238	102.121	102.121	28.1947	2093
siri1273	296.0312	-63.9688	-15.5298	192
siri1273	296.0312	-63.9688	-15.5298	192
situ1238	101.855001	101.855001	31.060903	3829
skol1241	29.72	29.72	68.83	206
slov1268	14.78	14.78	46.25	513
slov1268	14.50823	14.50823	46.050593	576
slov1269	18.78	18.78	48.55	424
somr1240	103.139	103.139	12.243	354
sout1528	18.81	18.81	44.15	692
sout2674	12.6	12.6	64.25	329
sout2723	103.43	103.43	24.41	1807
sout2728	103.23	103.23	31.32	2462
sout2741	109.222	109.222	25.8874	592
sout2746	99.7031	99.7031	6.85668	66
sout2750	150.83	150.83	65.75	49
sout2754	108.779365	108.779365	25.520166	646
sout3210	99.33	99.33	23.5	1097
stan1288	356.3	-3.7	42.25	927
stan1288	356.296518	-3.703482	40.416881	606
stan1288	358.88212	-1.11788	40.4414	1115
stan1289	1.57	1.57	41.45	479
stan1289	1.569	1.569	41.453	479
stan1290	2	2	48	118
stan1290	2.347857	2.347857	48.854451	92
stan1293	359	-1.01	53	70
stan1293	359	-1.01	52	77
stan1293	359.899941	-1.100059	51.497728	79
stan1295	10.5	10.5	52.27	124
stan1295	13.409092	13.409092	52.520822	44
stan1295	12.4676	12.4676	48.649	437
stan1318	43.85	43.85	27.96	596
stan1318	43	43	27	810
suii1243	106.563	106.563	24.0488	602
sunw1242	86.2476	86.2476	27.5201	1809
suoy1242	104.136	104.136	11.936	468
swah1253	39	39	-6.5	19
swed1254	17.39	17.39	59.8	40
swed1254	17.438718	17.438718	59.73823	28
swed1254	17.389526	17.389526	59.800634	40
taba1259	47.8379	47.8379	42.0198	899
taca1256	291.95944	-68.04056	-13.39249	205
tain1252	99.722	99.722	21.7837	1165
tami1289	78.83	78.83	10.52	80
tami1289	78.825989	78.825989	10.520219	80
tang1353	140.269	140.269	-5.13343	1090
tari1263	356	-4	34.5	1096
tata1255	50	50	55	136
tehu1242	291.6765	-68.3235	-47.5796	225
telu1262	78.7	78.7	16.45	474
telu1262	78.7024	78.7024	16.4529	474
thai1261	100.671	100.671	14.192	6
thai1261	100.671	100.671	14.192	6
thai1261	101	101	16	83
thai1261	101	101	16	83
thak1245	83.6466	83.6466	28.7014	4702
tibe1272	90.11	90.11	28.22	5161
tibe1272	90.1872	90.1872	28.3681	5161
tind1238	45.9227	45.9227	42.3316	2085
tlin1245	224.71	-135.29	59.4447	735
tlin1245	224.71	-135.29	59.4447	735
tlin1245	224.71	-135.29	59.4447	735
tlin1245	224.71	-135.29	59.4447	735
tlin1245	224.71	-135.29	59.4447	735
toba1269	298.04	-61.96	-23.77	188
toba1269	298.04	-61.96	-23.77	188
tokh1242	86.154785	86.154785	41.760336	1143
tokh1242	89.18	89.18	42.98	79
tokh1243	81.514435	81.514435	41.645502	1587
tokh1243	82.9	82.9	41.65	1189
toki1238	46.3724	46.3724	42.5727	1778
tong1325	184.860131	-175.139869	-21.226113	26
tong1325	184.75	-175.25	-21.17	18
tosk1239	20	20	41	244
trin1274	294.5904	-65.4096	-15.3331	166
trum1247	306.4283	-53.5717	-11.8119	304
tsak1249	46.89	46.89	41.59	910
tsak1249	46.8858	46.8858	41.5916	910
tsho1240	101.832718	101.832718	32.209102	3807
tuyu1244	289.956485	-70.043515	0.39441	170
tzot1259	267.1667	-92.8333	16.8333	1445
udii1243	47.651941	47.651941	41.014877	653
udii1243	47.7236	47.7236	40.9	653
udmu1245	52.64	52.64	56.13	140
udmu1245	52.63548	52.63548	56.12921	140
ukra1253	28.65	28.65	50.25	223
ukra1253	30.525414	30.525414	50.449474	143
uppe1439	236.831	-123.169	46.7981	290
urua1244	132.744455	132.744455	-3.42448	123
urua1244	132.745	132.745	-3.45498	123
veps1250	34.79	34.79	60.34	174
viet1252	105.774071	105.774071	20.681188	20
vlax1238	18.16	18.16	46.09	182
waiw1244	300.8583	-59.1417	1.50881	360
wala1266	160.741	160.741	-8.81936	483
wamb1259	140.48	140.48	-5.44334	188
wand1278	13.8996	13.8996	11.3169	382
wang1299	140.194	140.194	-5.60094	68
waor1240	283.317	-76.683	-1.12312	285
wapi1253	300.1979	-59.8021	2.58744	152
waur1244	306.3029	-53.6971	-13.296	398
waya1270	307.3113	-52.6887	1.73817	213
wayu1243	287.800209	-72.199791	11.395566	29
wels1247	356	-4	52	135
wers1238	124.932	124.932	-8.33936	168
west2369	55.748043	55.748043	32.735314	1102
west2369	53.3	53.3	32.9	1167
west2369	55.16	55.16	28.66	1467
west2376	17.9609	17.9609	48.091	130
west2386	75.3474	75.3474	30.0948	222
west2392	46.33	46.33	56.33	87
west2415	85.0563	85.0563	28.0239	1652
west2430	109.422366	109.422366	28.33212	600
west2547	124.985028	124.985028	-9.087594	401
west2547	125.0606	125.0606	-9.0539	211
wich1264	297.4167	-62.5833	-22.5	250
wich1264	297.8243	-62.1757	-23.1633	208
woli1241	122.67	122.67	-5.33	178
xian1250	100.4478932	100.4478932	25.5313657	2463
xish1235	100.711	100.711	24.8709	1734
xish1235	101.27	101.27	25.19	2154
xuzh1234	99.112244	99.112244	25.344026	1733
yagu1244	287.7814	-72.2186	-3.42913	108
yagu1244	287.7814	-72.2186	-3.42913	108
yaku1245	130	130	62	110
yama1264	291.7352	-68.2648	-55.2748	58
yami1256	288.4036	-71.5964	-9.8846	299
yang1304	99.046326	99.046326	25.22482	1860
yano1262	297.1478	-62.8522	2.48999	301
yaqa1246	139.249	139.249	-6.66632	17
yavi1244	292.561114	-67.438886	2.924844	114
yish1238	100.51	100.51	25.04	1734
youn1235	110.115975	110.115975	25.730893	553
yunl1238	99.0352884	99.0352884	25.9223745	2416
yuwa1244	294.5733	-65.4267	5.63879	840
zaca1242	262.6931	-97.3069	16.08	449
zaiw1241	98.36	98.36	24.17	1393
zaiw1241	98.3643	98.3643	24.1726	1393
zauz1238	98.8634	98.8634	26.4572	3105
zhou1234	100.0987848	100.0987848	25.8958633	2494
zizi1238	13.5233	13.5233	10.4689	680
zuni1245	251.218	-108.782	35.0056	2134
zuni1245	251.218	-108.782	35.0056	2134
