glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
stan1290	48	2	2	170.728264790765	41.4419869221448	116.636363636364	153.47619047619	125.681818181818	114.095238095238	131.090909090909	160.772727272727	191.045454545455	211.428571428571	214.75	215.666666666667	214	200.095238095238
pula1263	13.869	-13.448	-13.448	226.227254689755	3.67357641122747	221.809523809524	226.1	222.333333333333	220.238095238095	226.454545454545	230.727272727273	232.5	230.3	226.55	225.47619047619	225.428571428571	226.809523809524
scot1245	56.757	-5.244	-5.244	135.65119047619	54.453740376203	53.2272727272727	122.666666666667	92.4090909090909	42.95	102.818181818182	129.681818181818	160.863636363636	191.952380952381	200.15	196.952380952381	180.857142857143	153.285714285714
gami1242	21.07	73.684	73.684	223.539664502164	4.63697448981457	218.136363636364	223.52380952381	218.863636363636	216.52380952381	223.181818181818	228.181818181818	230.590909090909	230.333333333333	225.95	221.52380952381	220.857142857143	224.809523809524
stan1295	48.649	12.468	12.468	167.405230880231	43.5067461377039	111.636363636364	150.333333333333	121.318181818182	106.380952380952	126.727272727273	155	188.090909090909	213.047619047619	214.3	214.619047619048	213.409090909091	194
pare1266	19.075	83.972	83.972	224.043957431457	4.22343485559684	219.428571428571	222.857142857143	219.363636363636	217.904761904762	224.409090909091	229.227272727273	230.954545454545	229.95	224.9	222.619047619048	222.818181818182	224.095238095238
mode1248	42.322	24.87	24.87	182.509235209235	38.6896927499255	126.545454545455	180.52380952381	140.818181818182	123.571428571429	145.090909090909	179.181818181818	209.272727272727	215.47619047619	218.6	220.047619047619	218.363636363636	212.619047619048
guja1252	22.687	71.096	71.096	223.597005772006	4.68872750014802	217.318181818182	223.142857142857	218.272727272727	216.047619047619	222.181818181818	227.045454545455	229.863636363636	229.904761904762	227.8	223.6	222.272727272727	225.714285714286
gusi1247	-0.789	34.768	34.768	231.525033227007	2.82141084246733	232.047619047619	232.714285714286	230.5	230.428571428571	235.636363636364	236.227272727273	232.772727272727	229.947368421053	227.55	227.047619047619	230.190476190476	233.238095238095
hadz1240	-3.83	35.05	35.05	230.881129908104	3.62924793312245	232.636363636364	233.714285714286	231.454545454545	230.85	236.047619047619	235.409090909091	230.727272727273	226.947368421053	225.05	225.714285714286	228.772727272727	233.25
hakk1236	25	116	116	217.197817460317	5.88564868746928	209.190476190476	218.47619047619	214.409090909091	206.952380952381	210.571428571429	216.666666666667	218.409090909091	219.1	221.25	225	224.681818181818	221.666666666667
haus1257	11.151	8.78	8.78	228.459036796537	3.07502008617486	224.904761904762	228.571428571429	225.227272727273	223.05	229.380952380952	232.727272727273	233.454545454545	230.75	228.15	227.761904761905	227.863636363636	229.666666666667
hind1269	25	77	77	222.630717893218	5.21006016428364	215.590909090909	221.666666666667	217.136363636364	214.285714285714	220.681818181818	226.045454545455	229.272727272727	229.9	227.95	222.904761904762	221.181818181818	224.952380952381
hung1274	46.907	19.656	19.656	173.908008658009	43.000359941596	111.454545454545	163.952380952381	126.363636363636	114.47619047619	133.136363636364	166.727272727273	200.636363636364	214.285714285714	216.5	217.190476190476	215.363636363636	206.809523809524
kala1399	69.376	307.136	-52.864	123.77113997114	56.5558408103624	NA	77.8571428571429	NA	NA	21.0666666666667	73.9090909090909	123.045454545455	148.47619047619	187.3	188.333333333333	163.619047619048	130.333333333333
nort2945	64.78	198.193	-161.807	126.905606060606	52.1715244819217	NA	108.428571428571	29.75	NA	52.5909090909091	116.636363636364	138.5	163	189.7	177.952380952381	159.545454545455	132.952380952381
ital1282	43.046	12.649	12.649	182.170003607504	39.5178294414407	126.409090909091	174.714285714286	136.772727272727	122.52380952381	145.590909090909	182.090909090909	211.818181818182	215.857142857143	218.75	220.380952380952	218.227272727273	212.904761904762
teso1249	1.183	33.939	33.939	231.172414938862	2.5884290179304	231.5	231.761904761905	229.818181818182	229.55	235.333333333333	235.045454545455	232.454545454545	229.894736842105	227.75	227.238095238095	230.272727272727	233.45
nucl1643	35	135	135	201.131421356421	24.3840202016781	160.090909090909	211.666666666667	175.636363636364	157.190476190476	186.272727272727	212.090909090909	216	218.47619047619	218.3	220.952380952381	221.090909090909	215.809523809524
hebr1245	31.106	35.018	35.018	214.580501443001	17.225508091449	183.136363636364	217.095238095238	209.5	178.761904761905	209.681818181818	216.5	222.363636363636	226.1	229.55	230.142857142857	228.181818181818	223.952380952381
jola1263	12.758	-15.735	-15.735	226.379400205058	3.5725927021994	222.409090909091	226.190476190476	222.818181818182	220.666666666667	226.666666666667	231.190476190476	232.545454545455	230.315789473684	226.75	225.238095238095	225.333333333333	226.428571428571
kaba1278	43.508	43.392	43.392	188.352994227994	36.2361225124276	136.181818181818	192.809523809524	147.227272727273	129.142857142857	157.545454545455	185.909090909091	213.454545454545	217.809523809524	221	223.285714285714	220.727272727273	215.142857142857
kaya1330	-7.774	308.326	-51.674	225.768650793651	1.13383972195191	225.772727272727	226.952380952381	225.5	224.666666666667	227.142857142857	226.333333333333	225.666666666667	224.47619047619	223.95	224.75	226.727272727273	227.285714285714
dhan1264	20.772	73.742	73.742	224.023773448773	4.69667451183473	219.5	224.047619047619	219.954545454545	217.619047619048	224.681818181818	229.545454545455	231.727272727273	230.761904761905	225.4	220.52380952381	220.190476190476	224.333333333333
