glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
gami1242	21.07	73.684	73.684	18011	21318	23627	25417	25198	20320	15934	15943	18411	20246	18940	17160	3303.67756860029	20043.75
stan1295	48.649	12.468	12.468	3396	6198	9735	14104	17825	18343	18439	16277	11610	7158	3651	2615	6139.77426480219	10779.25
pare1266	19.075	83.972	83.972	18053	20377	22908	23511	22983	19337	16760	17043	17691	18098	17642	17096	2526.51475566759	19291.5833333333
mode1248	42.322	24.87	24.87	5401	8384	11691	16257	19329	21475	21723	19603	15065	10173	6143	4582	6409.25085444091	13318.8333333333
guja1252	22.687	71.096	71.096	16987	19907	22779	25250	25678	21223	16824	16398	18994	20104	17886	16181	3316.33492820924	19850.9166666667
gusi1247	-0.789	34.768	34.768	19239	20222	19864	17900	17415	17665	17217	17776	19317	19044	17735	18207	1017.92338745471	18466.75
hadz1240	-3.83	35.05	35.05	17798	18643	18214	17256	16143	16908	17083	19006	19513	20011	17916	17022	1160.89655465337	17959.4166666667
hakk1236	25	116	116	10525	10714	11843	13908	15678	16677	21707	20258	17676	15166	12220	10816	3780.58199784428	14765.6666666667
haus1257	11.151	8.78	8.78	17999	19676	19892	19533	19846	19272	16340	15067	17888	19067	19094	18236	1495.91592495884	18492.5
hind1269	25	77	77	15790	18755	21732	24494	25318	22403	17116	16217	18777	19614	17277	15128	3403.37307169689	19385.0833333333
hung1274	46.907	19.656	19.656	3960	6797	10858	15628	19890	21750	21811	18767	14069	9062	4410	3079	7087.53942589644	12506.75
kala1399	69.376	307.136	-52.864	445	1750	6266	13884	20228	20700	17839	12109	6240	2129	651	199	8018.42215643376	8536.66666666667
nort2945	64.78	198.193	-161.807	526	2334	7248	12658	15674	18402	15435	10408	6823	3123	893	188	6568.9854942938	7809.33333333333
ital1282	43.046	12.649	12.649	5674	8354	12098	16229	20541	22444	24025	20891	15524	10611	6038	4633	6985.22251657459	13921.8333333333
teso1249	1.183	33.939	33.939	19344	19949	19594	18396	17800	17325	15939	17127	18813	19026	18240	18959	1160.03440387853	18376
nucl1643	35	135	135	7913	9707	12883	16257	18078	16639	17759	18805	13776	11346	8760	7299	4217.59790531401	13268.5
hebr1245	31.106	35.018	35.018	10700	13792	17669	21838	25647	27775	27476	25592	21851	17269	12884	10250	6505.50249788592	19395.25
jola1263	12.758	-15.735	-15.735	18228	20905	22660	24016	22932	20064	18223	18055	18764	19265	18542	16802	2274.89393692155	19871.3333333333
kaba1278	43.508	43.392	43.392	5912	8690	11922	15995	19147	21129	20946	18634	14378	10000	6457	4949	5998.74963423566	13179.9166666667
kaya1330	-7.774	308.326	-51.674	12364	11989	11700	12594	14936	16497	18331	18727	17184	16752	14321	12693	2580.39201860821	14840.6666666667
dhan1264	20.772	73.742	73.742	17894	21149	23565	25244	24942	19947	15697	15798	18143	20115	18832	17101	3297.20113976394	19868.9166666667
chig1238	-1.044	29.912	29.912	14365	14815	14544	13635	12982	14925	15226	14542	15621	14455	13870	13887	726.496006162248	14405.5833333333
kiku1240	-0.29	36.719	36.719	18549	19415	18851	15607	14816	15545	13543	14554	17034	17240	15260	16503	1848.13287228932	16409.75
kili1267	-8.726	151.072	151.072	21267	21673	21281	20240	18771	17964	18502	19984	21429	22476	22279	22229	1563.12399661315	20674.5833333333
komi1268	64.053	54.946	54.946	1010	2917	7489	13368	19124	21550	18231	12055	6509	2625	1009	634	7729.85506303026	8876.75
komi1269	59.66	54.796	54.796	1608	4148	8880	14270	19222	21119	19119	13930	8007	3671	1612	986	7544.39670861559	9714.33333333333
konk1267	19.241	73.917	73.917	18162	21105	23779	25136	24635	19323	15755	15925	17989	19540	18547	17307	3230.43840138634	19766.9166666667
kore1280	37.5	128	128	8059	10752	13562	17161	18840	17650	14825	15174	13878	12059	8603	7327	3858.3672830498	13157.5
krah1246	-8.012	312.423	-47.577	14273	13894	13309	13795	16101	17461	18792	19808	18279	16859	15638	14126	2205.93024938494	16027.9166666667
kurd1259	35.65	45.81	45.81	8432	11303	13945	17618	22293	27641	27340	23698	21302	15213	10399	8321	7059.37145616099	17292.0833333333
laca1243	17.021	268.577	-91.423	15404	17904	20140	20362	20975	20038	20361	20279	18286	16918	15716	14635	2263.81310798369	18418.1666666667
latv1249	56.826	24.309	24.309	1617	4053	8589	13146	18653	20640	19452	15398	9264	4697	1727	973	7400.35569323283	9850.75
ling1263	1.403	19.783	19.783	16581	17665	17179	16370	15672	14292	13588	14056	15466	15308	15332	16018	1235.89173731506	15627.25
gand1255	0.669	32.152	32.152	17288	17823	17923	17039	16542	16031	15463	16190	17358	17752	17379	17735	805.416714088635	17043.5833333333
luok1236	-0.933	34.49	34.49	19179	20182	19847	18171	17838	17803	17929	18371	19810	19454	18133	18461	873.880357250281	18764.8333333333
liby1240	22.003	15.001	15.001	17223	20029	22782	23829	25652	26301	27360	26851	23778	20938	18401	16601	3794.72782890348	22478.75
maha1287	31.009	77.532	77.532	11048	13802	17296	21694	23980	23380	18470	16420	17988	17170	13814	11270	4298.33175531948	17194.3333333333
manx1243	54.26	-4.454	-4.454	1971	4124	7682	12684	16836	17489	16353	13518	9365	5142	2528	1427	6109.50304667022	9093.25
maor1246	-38.288	176.541	176.541	23475	20142	15673	11197	7576	5913	6727	9121	12915	17315	21002	23032	6475.17549545722	14507.3333333333
mara1378	17.934	76.667	76.667	19212	21968	24241	24636	24232	19959	16848	17650	18206	19462	18619	18083	2789.95703236165	20259.6666666667
mari1278	55.83	48.41	48.41	2018	4816	9634	14374	19708	21083	19838	15402	9315	4555	1949	1309	7519.87273173656	10333.4166666667
yuca1254	18.776	271.043	-88.957	14656	17167	19182	20109	20983	20252	20008	20268	18541	16880	15521	13899	2434.57178737428	18122.1666666667
meso1252	33.818	43.11	43.11	10111	13730	17238	20830	24544	27923	27403	25526	21851	16336	12178	9622	6650.12377191719	18941
stan1288	40.441	-1.118	-1.118	6923	10210	13985	18501	21554	24335	26209	23092	17068	11638	7993	6121	7143.67337547389	15635.75
minn1241	24.5	118.17	118.17	11184	12018	13475	15491	16845	17657	20800	19101	17450	15433	12713	11184	3190.74240791017	15279.25
