glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
katl1246	11.683036	29.332831	29.332831	18535	20304	21207	22199	21190	19969	17547	17308	18472	18492	18548	18084	1597.4984492808	19321.25
koia1260	-9.1999125	147.7626625	147.7626625	17124	17308	16699	16303	16238	15404	15461	17324	18707	20394	19565	17888	1551.08492577605	17367.9166666667
kxaa1236	-20.7386728333333	20.1579911666667	20.1579911666667	24226	23591	21832	19609	18065	16651	17820	20431	23192	24481	25109	24925	3040.33981354358	21661
leng1261	-22.7857	301.6058	-58.3942	20401	19856	18339	15820	12947	11521	12662	14700	16532	19063	20323	21070	3377.68987309194	16936.1666666667
mail1249	-10.124045625	148.921641	148.921641	22582	22440	21518	19767	17971	17118	17473	19112	20929	22865	22877	22848	2243.13040191604	20625
mand1469	10.0743277412276	-6.697205429825	-6.697205429825	19134	20383	20448	19933	19726	18694	17298	16471	17317	19360	19099	17769	1308.40502023253	18802.6666666667
misu1242	13.6654653333333	-85.1388111666667	-85.1388111666667	17324	19216	22225	23020	22455	20005	20314	20254	19866	18541	17238	16583	2105.36865518665	19753.4166666667
miwo1274	37.6638326428571	-121.637420285714	-121.637420285714	6977	9791	15339	20202	23838	27072	26921	24069	19708	14234	9023	6675	7670.85771497121	16987.4166666667
mixe1284	17.22	83.97	83.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
musk1252	34	95	95	9777	12426	15644	19107	21075	20487	19393	18365	16916	14699	11706	9485	4122.87016824959	15756.6666666667
nakh1245	42.5	46.5	46.5	5994	8762	12139	16148	19485	22124	22563	19742	15697	10613	6938	5301	6334.37753034737	13792.1666666667
nilo1247	4.75	29.75	29.75	19516	20039	19423	18259	18259	16805	14954	16173	17810	17303	17896	19076	1487.20833402314	17959.4166666667
nort2923	1.171046	127.756333333333	127.756333333333	15981	17680	18201	17717	16716	15338	16003	17583	18737	18559	17372	16541	1084.58197505125	17202.3333333333
nort2933	-5.9815425	155.04875	155.04875	18755	19254	19215	19238	18979	17797	17815	18401	20409	20461	19236	18615	839.873200205985	19014.5833333333
