glottocode	longitude	longitude_180	latitude	elevation
azha1235	104.15	104.15	23.9	1706
phuz1235	103.4	103.4	23.05	1490
luqu1238	102.48	102.48	25.48	1974
kuan1249	103.33	103.33	26.45	2379
xinp1238	102.456	102.456	24.408	1817
hlep1236	103.733	103.733	23.591	1887
nort3298	98.94	98.94	26.91	3357
lawu1238	101.498795	101.498795	24.133878	1665
sout2722	103.306087	103.306087	22.87312	1034
limi1243	100.073	100.073	24.469	1823
kath1251	105.1	105.1	24.2	1091
naaa1244	100.214	100.214	21.2701	1116
west1506	98.9	98.9	24.73	1515
lako1247	256.05	-103.95	46.3699	876
dime1235	36.3329	36.3329	6.20951	593
tere1278	155.745	155.745	-6.70051	204
cent2009	108	108	23.95	300
east2363	109	109	23.7	168
liuq1235	109.75	109.75	24.1	214
high1242	264.2699	-95.7301	16.1849	650
beri1254	138.866	138.866	-2.26904	184
xico1235	262.2537	-97.7463	20.6532	216
tuni1252	267.4597	-92.5403	30.9888	36
rumu1243	144.179	144.179	-7.17149	231
sout2697	48.4302	48.4302	36.5137	1919
east2326	22.0262	22.0262	57.566	21
wara1303	300.6472	-59.3528	7.50851	47
wint1259	237.555	-122.445	39.7176	199
yare1248	148.605	148.605	-9.50651	427
wapp1239	237.5	-122.5	38.25	148
arab1268	284.9388	-75.0612	-1.96126	179
afro1255	8.08	8.08	8.67	307
algi1248	106.5	106.5	42.67	985
araw1281	290.83	-69.17	1	144
atha1245	236.5	-123.5	53.75	801
atla1278	8.25	8.25	8.75	272
aust1307	120.98	120.98	23.76	1428
bain1263	151.919166666667	151.919166666667	-4.67477333333333	907
bora1262	287.659017	-72.340983	-1.4327295	157
cadd1255	86.5	86.5	33.33	5070
chib1249	276.58	-83.42	9.75	1290
chim1311	236.1289275	-123.8710725	47.912585	759
chum1262	240.037	-119.963	34.5459	505
coch1271	245.160545454545	-114.839454545455	32.3426727272727	25
dogo1299	356.72653155	-3.27346845	14.51624675	417
eski1264	189.52	-170.48	63.69	22
grea1241	272.67	-87.33	12	3
hmon1336	107	107	27	1141
ijoi1239	6.705971	6.705971	4.785055	18
indo1319	71.55	71.55	34	454
iroq1247	103.83	103.83	42.75	1355
katl1246	29.332831	29.332831	11.683036	635
koia1260	147.7626625	147.7626625	-9.1999125	1410
kxaa1236	20.1579911666667	20.1579911666667	-20.7386728333333	1189
leng1261	301.6058	-58.3942	-22.7857	92
mand1469	353.302794570175	-6.697205429825	10.0743277412276	396
misu1242	274.861188833333	-85.1388111666667	13.6654653333333	253
miwo1274	238.362579714286	-121.637420285714	37.6638326428571	358
musk1252	95	95	34	4750
nakh1245	46.5	46.5	42.5	1652
nilo1247	29.75	29.75	4.75	804
nort2923	127.756333333333	127.756333333333	1.171046	148
nort2933	155.04875	155.04875	-5.9815425	663
nubi1251	29.9262171333333	29.9262171333333	15.4495675333333	481
nucl1709	143.09	143.09	-5.43	2608
paho1240	142.357933	142.357933	-8.934252	23
pala1350	239.074	-120.926	40.7625	1685
pama1250	142.49	142.49	-12.17	56
saha1239	240.884	-119.116	45.7462	289
sino1245	94.75	94.75	26.1	1466
siou1252	99.5	99.5	35.5	4416
sout2845	36.453122	36.453122	5.717088	949
sout2948	155.618666666667	155.618666666667	-6.46766444444444	676
taik1256	108	108	24	300
tequ1244	264.330766666667	-95.6692333333333	16.1782	650
toro1256	139.227261538462	139.227261538462	-2.21818230769231	96
toto1251	82.58	82.58	19.92	330
tura1263	323.58	-36.42	-7.08	541
turk1311	125	125	56	986
ural1272	30	30	68	175
wint1258	237.681866666667	-122.318133333333	39.9773	197
yare1250	148.4174	148.4174	-9.495658	427
yuki1242	237.102	-122.898	39.04445	551
zapa1251	284.918456666667	-75.0815433333333	-2.935865	181
rapa1245	215.662	-144.338	-27.6304	80
quil1240	235.397	-124.603	47.9106	65
mixe1288	92.74	92.74	11.67	43
mail1248	149.521	149.521	-10.3657	124
sahu1245	127.493	127.493	1.00742	86
toar1246	146.206	146.206	-8.07231	6
abui1241	124.588	124.588	-8.31058	1031
nucl1454	136.263	136.263	-1.77196	712
araw1282	109.5	109.5	-6	NA
guah1252	108.67	108.67	6.5	NA
huit1251	107.67	107.67	-2.17	NA
kadu1256	209.17	-150.83	11.42	NA
mail1249	148.921641	148.921641	-10.124045625	55
mixe1284	83.97	83.97	17.22	NA
nucl1580	325.83	-34.17	-8	NA
sali1255	236.75	-123.25	48.75	47
timo1261	124.59	124.59	-8.31	1031
yawa1259	136.2795	136.2795	-1.843345	335
