cldf_id	cldf_glottocode	cldf_parameterReference	cldf_codeReference
abrahammonpa-MonpaKalaktang	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaBalemu	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTomko	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaNamsu	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTembang	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaDirangDum	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaSangti	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaDirang	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTawangMonastery	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaZimithang	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaChangprong	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MijiNafra	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-HrusoAkaJamiri	hrus1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-NamreiNabolang	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-NamreiBisai	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-DammaiRurang	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-DammaiDibin	miji1239	GreenAndBlue	GreenAndBlue-None
allenbai-Eryuan	eryu1239	GreenAndBlue	GreenAndBlue-False
allenbai-Heqing	heqi1238	GreenAndBlue	GreenAndBlue-False
allenbai-Jianchuan	jian1239	GreenAndBlue	GreenAndBlue-False
allenbai-Lanping	lanp1241	GreenAndBlue	GreenAndBlue-False
allenbai-Luobenzhuo	nuji1238	GreenAndBlue	GreenAndBlue-False
allenbai-Qiliqiao	qili1234	GreenAndBlue	GreenAndBlue-False
allenbai-Xiangyun	xian1250	GreenAndBlue	GreenAndBlue-False
allenbai-Yunlong	yunl1238	GreenAndBlue	GreenAndBlue-False
allenbai-Zhoucheng	zhou1234	GreenAndBlue	GreenAndBlue-False
bantubvd-1	nyam1276	GreenAndBlue	GreenAndBlue-None
bantubvd-2	buku1249	GreenAndBlue	GreenAndBlue-None
bantubvd-3	koyo1242	GreenAndBlue	GreenAndBlue-None
bantubvd-4	bemb1257	GreenAndBlue	GreenAndBlue-None
bantubvd-5	basa1284	GreenAndBlue	GreenAndBlue-None
bantubvd-6	asut1235	GreenAndBlue	GreenAndBlue-None
bantubvd-7	diri1252	GreenAndBlue	GreenAndBlue-None
bantubvd-8	lega1249	GreenAndBlue	GreenAndBlue-None
bantubvd-9	tswa1253	GreenAndBlue	GreenAndBlue-None
bantubvd-10	yaoo1241	GreenAndBlue	GreenAndBlue-None
beidasinitic-Beijing	beij1234	GreenAndBlue	GreenAndBlue-None
beidasinitic-Changsha	chan1326	GreenAndBlue	GreenAndBlue-None
beidasinitic-Chaozhou	chao1238	GreenAndBlue	GreenAndBlue-None
beidasinitic-Chengdu	chen1267	GreenAndBlue	GreenAndBlue-None
beidasinitic-Fuzhou	fuzh1239	GreenAndBlue	GreenAndBlue-None
beidasinitic-Guangzhou	guan1279	GreenAndBlue	GreenAndBlue-None
beidasinitic-Hefei	hefe1234	GreenAndBlue	GreenAndBlue-None
beidasinitic-Jinan	jina1245	GreenAndBlue	GreenAndBlue-None
beidasinitic-Kunming	kunm1234	GreenAndBlue	GreenAndBlue-None
beidasinitic-Meixian	yuet1238	GreenAndBlue	GreenAndBlue-None
beidasinitic-Nanchang	nanc1254	GreenAndBlue	GreenAndBlue-None
beidasinitic-Shenyang	shen1252	GreenAndBlue	GreenAndBlue-None
beidasinitic-Suzhou	suzh1234	GreenAndBlue	GreenAndBlue-None
beidasinitic-Wenzhou	ouji1238	GreenAndBlue	GreenAndBlue-None
beidasinitic-XiAn	xian1253	GreenAndBlue	GreenAndBlue-None
beidasinitic-Xiamen	xiam1236	GreenAndBlue	GreenAndBlue-None
beidasinitic-Yangjiang	yang1307	GreenAndBlue	GreenAndBlue-None
beidasinitic-Yangzhou	yang1306	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Duhumbi	chug1252	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Jerigaon	jeri1243	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Khispi	lish1235	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Khoina	khoi1253	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Khoitam	khoi1252	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Rahung	rahu1234	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Rupa	rupa1234	GreenAndBlue	GreenAndBlue-None
bodtkhobwa-Shergaon	sher1261	GreenAndBlue	GreenAndBlue-None
bowernpny-Adnyamathanha	adny1235	GreenAndBlue	GreenAndBlue-None
bowernpny-Alyawarr	alya1239	GreenAndBlue	GreenAndBlue-None
bowernpny-Arabana	arab1267	GreenAndBlue	GreenAndBlue-None
bowernpny-Biri	biri1256	GreenAndBlue	GreenAndBlue-None
bowernpny-Bunganditj	bung1264	GreenAndBlue	GreenAndBlue-None
bowernpny-Dhangu	dhan1270	GreenAndBlue	GreenAndBlue-None
bowernpny-Dharuk	sydn1236	GreenAndBlue	GreenAndBlue-None
bowernpny-Dhuwal	dhuw1249	GreenAndBlue	GreenAndBlue-None
bowernpny-Diyari	dier1241	GreenAndBlue	GreenAndBlue-None
bowernpny-Djabugay	dyaa1242	GreenAndBlue	GreenAndBlue-None
bowernpny-Djambarrpuyngu	djam1256	GreenAndBlue	GreenAndBlue-None
bowernpny-Djapu	djap1238	GreenAndBlue	GreenAndBlue-None
bowernpny-Djinang	djin1253	GreenAndBlue	GreenAndBlue-None
bowernpny-Gamilaraay	gami1243	GreenAndBlue	GreenAndBlue-None
bowernpny-Gumatj	guma1253	GreenAndBlue	GreenAndBlue-None
bowernpny-Gumbaynggir	kumb1268	GreenAndBlue	GreenAndBlue-None
bowernpny-Gupapuyngu	gupa1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Gurindji	guri1247	GreenAndBlue	GreenAndBlue-None
bowernpny-GuuguYimidhirr	gugu1255	GreenAndBlue	GreenAndBlue-None
bowernpny-Guyani	guya1249	GreenAndBlue	GreenAndBlue-None
bowernpny-Jaru	jaru1254	GreenAndBlue	GreenAndBlue-None
bowernpny-Jiwarli	djiw1241	GreenAndBlue	GreenAndBlue-None
bowernpny-Kalkatungu	kalk1246	GreenAndBlue	GreenAndBlue-None
bowernpny-Kamilaroi	gami1243	GreenAndBlue	GreenAndBlue-None
bowernpny-Karajarri	kara1476	GreenAndBlue	GreenAndBlue-None
bowernpny-Kariyarra	kari1304	GreenAndBlue	GreenAndBlue-None
bowernpny-Kartujarra	kart1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Kaurna	kaur1267	GreenAndBlue	GreenAndBlue-None
bowernpny-Kukatj	guga1239	GreenAndBlue	GreenAndBlue-None
bowernpny-Kukatja	kuka1246	GreenAndBlue	GreenAndBlue-None
bowernpny-Kurtjar	gurd1238	GreenAndBlue	GreenAndBlue-None
bowernpny-KuukuYau	kuuk1238	GreenAndBlue	GreenAndBlue-None
bowernpny-Mabuiag	kala1377	GreenAndBlue	GreenAndBlue-None
bowernpny-Margany	marg1253	GreenAndBlue	GreenAndBlue-None
bowernpny-MartuWangka	mart1256	GreenAndBlue	GreenAndBlue-None
bowernpny-Mudburra	mudb1240	GreenAndBlue	GreenAndBlue-None
bowernpny-Muruwari	muru1266	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngaanyatjarra	ngaa1240	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngarinyman	ngar1235	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngarla	ngar1296	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngarluma	ngar1287	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngarrindjeri	narr1259	GreenAndBlue	GreenAndBlue-None
bowernpny-Ngiyambaa	wang1291	GreenAndBlue	GreenAndBlue-None
bowernpny-Nhanta	nhan1238	GreenAndBlue	GreenAndBlue-None
bowernpny-Nyamal	nyam1271	GreenAndBlue	GreenAndBlue-None
bowernpny-Nyangumarta	nyan1301	GreenAndBlue	GreenAndBlue-None
bowernpny-Nyungar	nyun1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Paakantyi	darl1243	GreenAndBlue	GreenAndBlue-None
bowernpny-Panyjima	pany1241	GreenAndBlue	GreenAndBlue-None
bowernpny-Parnkala	bang1339	GreenAndBlue	GreenAndBlue-None
bowernpny-Payungu	bayu1240	GreenAndBlue	GreenAndBlue-None
bowernpny-PintupiLuritja	pint1250	GreenAndBlue	GreenAndBlue-None
bowernpny-PittaPitta	pitt1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Ritharrngu	rita1239	GreenAndBlue	GreenAndBlue-None
bowernpny-Thalanyji	dhal1245	GreenAndBlue	GreenAndBlue-None
bowernpny-Tharrgari	dhar1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Umpila	umpi1239	GreenAndBlue	GreenAndBlue-None
bowernpny-Wajarri	waja1257	GreenAndBlue	GreenAndBlue-None
bowernpny-Wakaya	waga1260	GreenAndBlue	GreenAndBlue-None
bowernpny-Wangkangurru	wang1290	GreenAndBlue	GreenAndBlue-None
bowernpny-Wangkayutyuru	wang1289	GreenAndBlue	GreenAndBlue-None
bowernpny-Wangkumara	wong1246	GreenAndBlue	GreenAndBlue-None
bowernpny-Warlmanpa	warl1255	GreenAndBlue	GreenAndBlue-None
bowernpny-Warlpiri	warl1254	GreenAndBlue	GreenAndBlue-None
bowernpny-Warluwarra	warl1256	GreenAndBlue	GreenAndBlue-None
bowernpny-Warnman	wanm1242	GreenAndBlue	GreenAndBlue-None
bowernpny-Warriyangga	wari1262	GreenAndBlue	GreenAndBlue-None
bowernpny-Warumungu	waru1265	GreenAndBlue	GreenAndBlue-None
bowernpny-Warungu	waru1264	GreenAndBlue	GreenAndBlue-None
bowernpny-Wathawurrung	wath1238	GreenAndBlue	GreenAndBlue-None
bowernpny-WikMungkan	wikm1247	GreenAndBlue	GreenAndBlue-None
bowernpny-Wiradjuri	wira1262	GreenAndBlue	GreenAndBlue-None
bowernpny-Wirangu	wira1265	GreenAndBlue	GreenAndBlue-None
bowernpny-Yalarnnga	yala1262	GreenAndBlue	GreenAndBlue-None
bowernpny-Yannhangu	yann1237	GreenAndBlue	GreenAndBlue-None
bowernpny-Yandruwandha	yand1253	GreenAndBlue	GreenAndBlue-None
bowernpny-Yawarrawarrka	yawa1258	GreenAndBlue	GreenAndBlue-None
bowernpny-Yidiny	yidi1250	GreenAndBlue	GreenAndBlue-None
bowernpny-Yindjibarndi	yind1247	GreenAndBlue	GreenAndBlue-None
bowernpny-YortaYorta	yort1237	GreenAndBlue	GreenAndBlue-None
bowernpny-Yugambeh	yuga1244	GreenAndBlue	GreenAndBlue-None
bowernpny-Yuwaalaraay	yuwa1242	GreenAndBlue	GreenAndBlue-None
castrosui-ShuigenCentralSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-ZhongheCentralSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-TangzhouWesternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-TingpaiWesternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-AntangWesternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-DujiangEasternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-SanjiangEasternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-RenliEasternSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-JiuqianSouthernSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-ShuiyaoSouthernSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-JiarongSouthernSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-ShuiweiSouthernSandong	sand1270	GreenAndBlue	GreenAndBlue-None
castrosui-Pandong	pand1262	GreenAndBlue	GreenAndBlue-None
castrosui-JiaoliPandong	pand1262	GreenAndBlue	GreenAndBlue-None
castrosui-TangnianYangAn	anya1244	GreenAndBlue	GreenAndBlue-None
castrosui-BanliangYangAn	anya1244	GreenAndBlue	GreenAndBlue-None
castroyi-HedongKuaNsi	sich1238	GreenAndBlue	GreenAndBlue-False
castroyi-Kuamasi	sich1238	GreenAndBlue	GreenAndBlue-False
castroyi-DaqingZibusi	sich1238	GreenAndBlue	GreenAndBlue-False
castroyi-MoguangLaizisi	sich1238	GreenAndBlue	GreenAndBlue-False
castroyi-XinfengSonaga	sich1238	GreenAndBlue	GreenAndBlue-False
castrozhuang-LuzhaiSipai	liuq1235	GreenAndBlue	GreenAndBlue-True
castrozhuang-LuzhaiLuzhai	liuq1235	GreenAndBlue	GreenAndBlue-True
castrozhuang-XiangzhouDale	liuq1235	GreenAndBlue	GreenAndBlue-True
castrozhuang-XiangzhouYunjiang	liuq1235	GreenAndBlue	GreenAndBlue-False
castrozhuang-WuxuanTongling	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-WuxuanHuangmao	liuq1235	GreenAndBlue	GreenAndBlue-True
castrozhuang-GuipingShilong	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-GangbeiZhongli	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-XingbinSishan	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-XingbinQianjiang	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-ShanglinTanghong	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-ShanglinMingliang	east2363	GreenAndBlue	GreenAndBlue-False
castrozhuang-MashanYongzhou	cent2009	GreenAndBlue	GreenAndBlue-False
castrozhuang-MashanBaishan	cent2009	GreenAndBlue	GreenAndBlue-False
castrozhuang-DahuaYantan	cent2009	GreenAndBlue	GreenAndBlue-False
castrozhuang-DahuaLiushui	cent2009	GreenAndBlue	GreenAndBlue-False
castrozhuang-DuAnGaoling	cent2009	GreenAndBlue	GreenAndBlue-False
castrozhuang-DuAnBaiwang	cent2009	GreenAndBlue	GreenAndBlue-True
castrozhuang-XinchengBeigeng	east2326	GreenAndBlue	GreenAndBlue-False
castrozhuang-XinchengGuosui	east2326	GreenAndBlue	GreenAndBlue-False
chenhmongmien-EasternLuobuohe	luop1235	GreenAndBlue	GreenAndBlue-False
chenhmongmien-WesternLuobuohe	luop1235	GreenAndBlue	GreenAndBlue-False
chenhmongmien-Chuanqiandian	chua1248	GreenAndBlue	GreenAndBlue-False
chenhmongmien-CentralGuizhouChuanqiandian	nort2749	GreenAndBlue	GreenAndBlue-True
chenhmongmien-SouthernGuizhouChuanqiandian	cent1394	GreenAndBlue	GreenAndBlue-True
chenhmongmien-NortheastYunnanChuanqiandian	larg1235	GreenAndBlue	GreenAndBlue-True
chenhmongmien-WesternXiangxi	west2430	GreenAndBlue	GreenAndBlue-False
chenhmongmien-EasternXiangxi	east2371	GreenAndBlue	GreenAndBlue-False
chenhmongmien-NorthernQiandong	nort2747	GreenAndBlue	GreenAndBlue-True
chenhmongmien-EasternQiandong	east2370	GreenAndBlue	GreenAndBlue-True
chenhmongmien-SouthernQiandong	sout2754	GreenAndBlue	GreenAndBlue-True
chenhmongmien-WesternQiandong		GreenAndBlue	GreenAndBlue-False
chenhmongmien-WesternBaheng	pahn1237	GreenAndBlue	GreenAndBlue-False
chenhmongmien-EasternBaheng	pahn1237	GreenAndBlue	GreenAndBlue-False
chenhmongmien-Dongnu	dong1287	GreenAndBlue	GreenAndBlue-True
chenhmongmien-Nunu	nunu1247	GreenAndBlue	GreenAndBlue-True
chenhmongmien-Numao	numa1251	GreenAndBlue	GreenAndBlue-True
chenhmongmien-Bana	pana1310	GreenAndBlue	GreenAndBlue-False
chenhmongmien-Younuo	youn1235	GreenAndBlue	GreenAndBlue-False
chenhmongmien-She	shee1238	GreenAndBlue	GreenAndBlue-False
chenhmongmien-Jiongnai	jion1236	GreenAndBlue	GreenAndBlue-False
chenhmongmien-Mien	iumi1238	GreenAndBlue	GreenAndBlue-False
chenhmongmien-KimMun	kimm1245	GreenAndBlue	GreenAndBlue-True
chenhmongmien-BiaoMin	biao1254	GreenAndBlue	GreenAndBlue-True
chenhmongmien-ZaoMin	dzao1238	GreenAndBlue	GreenAndBlue-True
chindialectsurvey-TaungthaWethet-T-1		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-ThaiphumRengkheng-T-7		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-AshoKokanTan-A-1	asho1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-UppuKyinDwe-U-5	chin1478	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-LonpawKhoimalaung-U-9	chin1478	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-MinkyaChi-U-10	chin1478	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DoituHetsawlay-U-11		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-LaituKhuasung-U-12		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-EkaiDaletYwaHaung-D-1	sumt1234	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-KhulaiAyeChaungKwanwa-D-5	sumt1234	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DaituNyaungChaungYwa-D-4	sumt1234	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-KhamawLakeKone-D-2	asho1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-SaingbongAyoTaung-D-3	asho1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-LaisawThuHtayKung-A		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-HyowLaituGhungurumukParainBandarban-A	asho1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-SonglaiHettui8KarchaungHettui-A		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-SonglaiMaungUmSong1MaungUmSong-A		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-LaituAhongdong-A		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-NggaKantthayung-A	munc1235	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-KaangKruk-A		GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DaaiKalim-A	daai1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DaaiAwisi-A	daai1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DaaiNgxang5HungNghang-A	daai1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-DaaiYet3BuchaungwaYet-A	daai1236	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-RawngtuWeilong-A	wela1234	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-RawngtuRamtim-A	wela1234	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-MroKhimiAreong10KyaGaungvillageMrokhami-A	mroc1235	GreenAndBlue	GreenAndBlue-None
chindialectsurvey-WakungAwaPyin-A	mroc1235	GreenAndBlue	GreenAndBlue-None
clarkkimmun-KimMunLaos	kimm1245	GreenAndBlue	GreenAndBlue-None
clarkkimmun-KimMunLaocai	kimm1245	GreenAndBlue	GreenAndBlue-None
clics1-DidoSagadinSagadin	dido1241	GreenAndBlue	GreenAndBlue-False
clics1-DargwaKajtakKajtak	darg1241	GreenAndBlue	GreenAndBlue-False
clics1-Estonianstd	esto1258	GreenAndBlue	GreenAndBlue-False
clics1-ArmenianEasternEastern	nucl1235	GreenAndBlue	GreenAndBlue-False
clics1-AvarBatlukhBatlukh	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-Chamalalstd	cham1309	GreenAndBlue	GreenAndBlue-False
clics1-Swahilistd	swah1253	GreenAndBlue	GreenAndBlue-False
clics1-LezgiKubaKuba	lezg1247	GreenAndBlue	GreenAndBlue-False
clics1-Ghodoberistd	ghod1238	GreenAndBlue	GreenAndBlue-False
clics1-Tsakhurstd	tsak1249	GreenAndBlue	GreenAndBlue-False
clics1-Maoristd	maor1246	GreenAndBlue	GreenAndBlue-False
clics1-AvarHidHid	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-AvarKarakhKarakh	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-Greekstd	mode1248	GreenAndBlue	GreenAndBlue-False
clics1-AzerbaijaniNorthTerekemeTerekeme	nort2697	GreenAndBlue	GreenAndBlue-False
clics1-Russianstd	russ1263	GreenAndBlue	GreenAndBlue-False
clics1-Tindistd	tind1238	GreenAndBlue	GreenAndBlue-False
clics1-OtomiMezquitalstd	mezq1235	GreenAndBlue	GreenAndBlue-False
clics1-DidoMokokMokok	dido1241	GreenAndBlue	GreenAndBlue-True
clics1-ArchiVar2Var2	arch1244	GreenAndBlue	GreenAndBlue-False
clics1-GermanStandardstd	stan1295	GreenAndBlue	GreenAndBlue-False
clics1-Kilivilastd	kili1267	GreenAndBlue	GreenAndBlue-False
clics1-CatalanValencianBalearstd	stan1289	GreenAndBlue	GreenAndBlue-False
clics1-Venetianstd	vene1258	GreenAndBlue	GreenAndBlue-None
clics1-Karatastd	kara1474	GreenAndBlue	GreenAndBlue-False
clics1-Lezgistd	lezg1247	GreenAndBlue	GreenAndBlue-False
clics1-Swedishstd	swed1254	GreenAndBlue	GreenAndBlue-False
clics1-MiaoWhitestd	hmon1333	GreenAndBlue	GreenAndBlue-True
clics1-Nogaistd	noga1249	GreenAndBlue	GreenAndBlue-False
clics1-Finnishstd	finn1318	GreenAndBlue	GreenAndBlue-False
clics1-Japanesestd	nucl1643	GreenAndBlue	GreenAndBlue-False
clics1-Hinukhstd	hinu1240	GreenAndBlue	GreenAndBlue-False
clics1-AvarStandardStandard	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-ChineseMandarinstd	mand1415	GreenAndBlue	GreenAndBlue-False
clics1-DargwaMuiriMuiri	darg1241	GreenAndBlue	GreenAndBlue-False
clics1-Hupdestd	hupd1244	GreenAndBlue	GreenAndBlue-True
clics1-SorbianLowerstd	lowe1385	GreenAndBlue	GreenAndBlue-False
clics1-ChechenAkkinAkkin	chec1245	GreenAndBlue	GreenAndBlue-True
clics1-Danishstd	dani1285	GreenAndBlue	GreenAndBlue-False
clics1-Khantystd	khan1273	GreenAndBlue	GreenAndBlue-False
clics1-Hindistd	hind1269	GreenAndBlue	GreenAndBlue-None
clics1-AndiMuniMuni	andi1255	GreenAndBlue	GreenAndBlue-False
clics1-KhvarshiInxokvariInxokvari	khva1239	GreenAndBlue	GreenAndBlue-False
clics1-YiddishEasternstd	east2295	GreenAndBlue	GreenAndBlue-False
clics1-AvarAntsukhAntsukh	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-Budukhstd	budu1248	GreenAndBlue	GreenAndBlue-False
clics1-Negerhollandsstd	nege1244	GreenAndBlue	GreenAndBlue-False
clics1-Selkupstd	selk1253	GreenAndBlue	GreenAndBlue-False
clics1-Chechenstd	chec1245	GreenAndBlue	GreenAndBlue-False
clics1-Qeqchistd	kekc1242	GreenAndBlue	GreenAndBlue-False
clics1-LezgiMikrakhMikrakh	lezg1247	GreenAndBlue	GreenAndBlue-False
clics1-Hausastd	haus1257	GreenAndBlue	GreenAndBlue-False
clics1-Ketstd	kett1243	GreenAndBlue	GreenAndBlue-False
clics1-SardinianLogudoresestd	logu1236	GreenAndBlue	GreenAndBlue-False
clics1-Khasistd	khas1269	GreenAndBlue	GreenAndBlue-False
clics1-KarataTokitinTokitin	kara1474	GreenAndBlue	GreenAndBlue-False
clics1-Kumykstd	kumy1244	GreenAndBlue	GreenAndBlue-False
clics1-Saramaccanstd	sara1340	GreenAndBlue	GreenAndBlue-False
clics1-Rutulstd	rutu1240	GreenAndBlue	GreenAndBlue-False
clics1-Welshstd	wels1247	GreenAndBlue	GreenAndBlue-True
clics1-MalagasyPlateaustd	plat1254	GreenAndBlue	GreenAndBlue-False
clics1-Lakstd	lakk1252	GreenAndBlue	GreenAndBlue-False
clics1-Caribstd	gali1262	GreenAndBlue	GreenAndBlue-False
clics1-Telugustd	telu1262	GreenAndBlue	GreenAndBlue-False
clics1-Portuguesestd	port1283	GreenAndBlue	GreenAndBlue-False
clics1-Hunzibstd	hunz1247	GreenAndBlue	GreenAndBlue-False
clics1-AvarKusurKusur	avar1256	GreenAndBlue	GreenAndBlue-False
clics1-Rapastd	rapa1245	GreenAndBlue	GreenAndBlue-False
clics1-Tarifitstd	tari1263	GreenAndBlue	GreenAndBlue-True
clics1-FarsiWesternstd	west2369	GreenAndBlue	GreenAndBlue-False
clics1-Takiastd	taki1248	GreenAndBlue	GreenAndBlue-False
clics1-Andistd	andi1255	GreenAndBlue	GreenAndBlue-True
clics1-Marathistd	mara1378	GreenAndBlue	GreenAndBlue-False
clics1-TabassaranNorthernNorthern	taba1259	GreenAndBlue	GreenAndBlue-False
clics1-TabassaranSouthernSouthern	taba1259	GreenAndBlue	GreenAndBlue-False
clics1-Mansistd	mans1258	GreenAndBlue	GreenAndBlue-False
clics1-Romagnolstd	roma1328	GreenAndBlue	GreenAndBlue-None
clics1-WichiLhamtesGuisnaystd	wich1264	GreenAndBlue	GreenAndBlue-True
clics1-Bagvalalstd	bagv1239	GreenAndBlue	GreenAndBlue-False
clics1-Erzyastd	erzy1239	GreenAndBlue	GreenAndBlue-False
clics1-KomiZyrianstd	komi1268	GreenAndBlue	GreenAndBlue-False
clics1-DargwaItsariItsari	darg1241	GreenAndBlue	GreenAndBlue-False
clics1-Udmurtstd	udmu1245	GreenAndBlue	GreenAndBlue-False
clics1-Italianstd	ital1282	GreenAndBlue	GreenAndBlue-False
clics1-Botlikhstd	botl1242	GreenAndBlue	GreenAndBlue-False
clics1-Englishstd	stan1293	GreenAndBlue	GreenAndBlue-False
clics1-ArmenianWesternWestern	nucl1235	GreenAndBlue	GreenAndBlue-False
clics1-Punjabistd	west2386	GreenAndBlue	GreenAndBlue-False
clics1-SeselwaCreoleFrenchstd	sese1246	GreenAndBlue	GreenAndBlue-False
clics1-Zunistd	zuni1245	GreenAndBlue	GreenAndBlue-False
clics1-Polishstd	poli1260	GreenAndBlue	GreenAndBlue-False
clics1-Ghulfanstd	ghul1238	GreenAndBlue	GreenAndBlue-None
clics1-Aghulstd	aghu1253	GreenAndBlue	GreenAndBlue-False
clics1-Latinstd	lati1261	GreenAndBlue	GreenAndBlue-None
clics1-SaamiKildinstd	kild1236	GreenAndBlue	GreenAndBlue-False
clics1-Bezhtastd	bezh1248	GreenAndBlue	GreenAndBlue-True
clics1-KanuriCentralstd	cent2050	GreenAndBlue	GreenAndBlue-False
clics1-Tamilstd	tami1289	GreenAndBlue	GreenAndBlue-False
clics1-ChoroteIyojwajastd	iyoj1235	GreenAndBlue	GreenAndBlue-False
clics1-DargwaKubachiKubachi	darg1241	GreenAndBlue	GreenAndBlue-False
clics1-Latvianstd	latv1249	GreenAndBlue	GreenAndBlue-False
clics1-AkhvakhNorthernNorthern	akhv1239	GreenAndBlue	GreenAndBlue-False
clics1-Chachistd	chac1249	GreenAndBlue	GreenAndBlue-True
clics1-MariMeadowstd	east2328	GreenAndBlue	GreenAndBlue-False
clics1-Paezstd	paez1247	GreenAndBlue	GreenAndBlue-True
clics1-Yaquistd	yaqu1251	GreenAndBlue	GreenAndBlue-False
clics1-Basquestd	basq1248	GreenAndBlue	GreenAndBlue-None
clics1-Dutchstd	dutc1256	GreenAndBlue	GreenAndBlue-False
clics1-Vietnamesestd	viet1252	GreenAndBlue	GreenAndBlue-False
clics1-Thaistd	thai1261	GreenAndBlue	GreenAndBlue-False
clics1-Frenchstd	stan1290	GreenAndBlue	GreenAndBlue-False
clics1-Cofanstd	cofa1242	GreenAndBlue	GreenAndBlue-True
