glottocode	clim_PC1	clim_PC2	clim_PC3	latitude	longitude
lati1261	1.58211277934627	0.442675217600959	-1.04923187369925	41.9026	12.4502
lawu1238	0.656246241300867	0.164025916006285	1.52054137100622	24.133878	101.498795
leng1261	-0.661283092843875	1.86809252686658	-0.470691909176493	-22.7857	301.6058
limi1243	0.902033838128878	-0.058745364355077	1.50815124371322	24.469	100.073
liuq1235	-0.251276020138732	0.41648106288504	0.780836461737764	24.1	109.75
logu1236	1.68876096317222	0.258887404983038	-0.553248728867923	40.49	9.09957
luqu1238	1.22532473287214	0.131261918235045	1.53126002952754	25.48	102.48
maib1239	-5.1547363242445	-1.4569496515945	-1.01017621557875	-1.3679	132.591
mail1248	-3.23989271020307	-0.329087302094534	-0.584468848821023	-10.3657	149.521
mail1249	-3.26986409946114	-0.414633487354653	-0.718517323222186	-10.124045625	148.921641
