glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
buru1296	36.2161	74.82	0.00304988379487638	0.00268499995581806	0.00158388263869379	0.00269499991554767	0.00304662837903355	0.00275104653458887	0.00161627195678635	0.00247929095146699
cari1283	-0.5	299.5	0.0183390968398892	0.0184099990874529	0.000653727450303333	0.000839998945593834	0.0183440754523822	0.0183799131514712	0.000425913691196679	0.000522810817023532
cayu1262	-13.2482	294.5178	0.0157393952375734	0.0159350000321865	0.00219614126613052	0.00311500043608248	0.0157552294654524	0.0161189187460372	0.00193835227150197	0.00288303951189543
jiva1245	-3.45	281.81	0.0132777728281464	0.0132799996063113	0.00126658289422949	0.00168750039301813	0.0132896022680695	0.013445197197143	0.0010621805564999	0.00148633194556977
chib1249	9.75	276.58	0.0190124679248268	0.0190600007772446	0.00058765310388586	0.000747499521821737	0.0190125952372357	0.0191199576301086	0.000497977308034852	0.000623823221152027
choc1280	6.83	282.83	0.0180173420818362	0.0180049994960427	0.000461779430346778	0.000590000301599503	0.0180186395494578	0.0180255923834112	0.000342192481865979	0.00042877974273223
chon1288	-49.8675	289.81	0.00500364604000098	0.00502000004053116	0.00107695408118223	0.00193500029854476	0.00500604330873588	0.00502256946250175	0.00109742377636228	0.00184957918665734
chuk1271	61	165	0.00356168753217438	0.00261999992653728	0.00249557019338909	0.00430500009679236	0.003556637784048	0.00262274096732856	0.00258279057348705	0.00388568786426428
cofa1242	0.276675	282.9357	0.0151628255138569	0.0152899995446205	0.000937855422130312	0.00108999945223331	0.0151707210562402	0.0153476388077252	0.000721501147598907	0.000854234670340601
drav1251	21.53	79.92	0.0108303019678164	0.00815000012516975	0.0058565607932199	0.0114925000816584	0.0108192989390755	0.00822240492885208	0.00602676166093845	0.00982261828175979
east1459	-1.5	134	0.0192771453165074	0.0193399991840124	0.000784164119281879	0.000840000808238983	0.0192849466767082	0.0193899854526131	0.000529774347383886	0.000646413633755098
elam1244	31.1833	48.2333	0.00700781433322057	0.00682999985292554	0.000947731239456691	0.00114999990910292	0.00701179701391626	0.00689115971585529	0.000835792279940942	0.00100239062804677
eski1264	63.69	189.52	0.0032667406771027	0.00319499999750406	0.00184122006742108	0.00324750004801899	0.00326243776430284	0.00318231250437546	0.00189330058051263	0.00299987222206255
garr1260	-18.05	137.665	0.0098661481335516	0.00904999999329448	0.00446541980666858	0.0073149997042492	0.00987864557251182	0.00902020621126414	0.00453327335595459	0.00683057118213684
giim1238	-12.6667	132.9533	0.0155021537199512	0.0152250002138317	0.00414085582794347	0.00823250017128885	0.0155192700468569	0.0154820562456734	0.00421851141961326	0.00786695136533429
guai1249	-25.12	299.78	0.0117935010613027	0.0118649997748435	0.0032948789346858	0.00567750027403235	0.0118001198151231	0.0117882576240744	0.00331600751447126	0.00529726528717826
gunw1250	-13.5	134.1	0.0140831196970482	0.0134049998596311	0.00427667001985279	0.00816500023938715	0.0141000492413333	0.0135504646071543	0.00433973035290792	0.00743823329200192
haid1248	53.63	227.955	0.00600587073816659	0.00558000011369586	0.00157814533495726	0.00277250015642494	0.00600021308633794	0.00561923679197207	0.00161315777104865	0.00254874407659776
hadz1240	-3.83	35.05	0.0116966357606622	0.0115399998612702	0.00228433737015683	0.00435000006109476	0.0117106715700981	0.011534279154148	0.00231517772547374	0.00412677607447323
hmon1336	27	107	0.0116767085193698	0.0113399997353554	0.00488303477908886	0.00957500038202852	0.011670839872558	0.0114066159844192	0.00507788954760043	0.00844685971808051
yuwa1244	5.63879	294.5733	0.0163564968611046	0.0165800005197525	0.000949732143050245	0.00108000077307224	0.0163596912819612	0.0166202396050923	0.000880512749430458	0.000918474297375522
indo1319	34	71.55	0.00990597143419747	0.00934500014409423	0.0037147634169463	0.00542499963194132	0.00990106629854566	0.00946680556646445	0.00380266524180222	0.00486342571578765
iton1250	-12.80431	295.64252	0.015035396148201	0.0156249995343387	0.002598433171371	0.00385749945417047	0.015050067368187	0.0158318270696327	0.00245634664094961	0.00356189823166157
iwai1246	-11.6	132.7225	0.0155021537199512	0.0152250002138317	0.00414085582794347	0.00823250017128885	0.0155192700468569	0.0154820562456734	0.00421851141961326	0.00786695136533429
japo1237	37	140	0.00961734813101815	0.00891999993473291	0.00482154147354113	0.0087349999230355	0.00960574166764926	0.00866368052730751	0.00500425886889848	0.00831292080854635
karo1304	41.8228	236.685	0.00691304229892408	0.00688999984413385	0.000946660013115317	0.00144749984610826	0.00691234717003781	0.00689371597966076	0.000933053213688487	0.00129368055624784
kart1248	3	42.5	0.0128624092218724	0.012640000320971	0.00135100450845457	0.00181999988853931	0.0128636417395911	0.0126282104239282	0.00131804247140256	0.00180367392022163
kawe1237	-52.51	288.0367	0.00510855139306983	0.00515000009909272	0.00105713580712192	0.00194750004447997	0.00510995650417156	0.00515395832351512	0.00108359105575163	0.00184790276479261
kore1284	37.5	128	0.00875001620541442	0.00766499992460012	0.00493998964611584	0.00842500000726432	0.00873856151802412	0.00765559928711607	0.00511880636801343	0.00796273541830791
kunz1244	-23	291	0.00549265396149529	0.00500499992631376	0.0014812083136487	0.00159999961033463	0.00550155478347422	0.00497128818015982	0.00139814806190531	0.0015382357572283
lara1258	-12.592844	130.884252	0.0162774259756408	0.0168399997055531	0.004257345982855	0.00837249960750341	0.0162939260841399	0.0167912742536929	0.00436110485155871	0.00801423096304966
leng1261	-22.7857	301.6058	0.0137971108475383	0.0140800001099706	0.00369446333400174	0.00670750043354928	0.0138093328407816	0.0142231854325574	0.00371643638315578	0.00610900241816934
mang1423	-14.86	134.59	0.0140831196970482	0.0134049998596311	0.00427667001985279	0.00816500023938715	0.0141000492413333	0.0135504646071543	0.00433973035290792	0.00743823329200192
mani1293	-12.2675	134.225	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
mata1289	-22.5	297.5	0.0136107294836531	0.0140050002373755	0.00339175702275644	0.00600250042043626	0.0136212451000138	0.0139679187430172	0.00342665289038692	0.00569511629873887
