glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
mang1423	-14.86	134.59	275	137	56	3313	385	143	242	297	226	312	226	821	226	0	119	596	3	375	3	1.2833033779263	-3.48028490676731	0.220017789366545	134.59
mani1293	-12.2675	134.225	272	99	60	1883	341	177	164	283	249	292	243	1227	292	0	110	822	1	517	2	2.10104769045752	-2.31853534317516	0.79677140689336	134.225
mata1289	-22.5	297.5	230	132	53	3904	344	95	249	274	175	274	175	533	101	3	80	282	14	282	14	-0.184153036318842	-2.57922196077864	-0.829192482565189	-62.5
maya1287	15.42	268.17	170	129	74	971	256	82	174	176	156	181	156	1596	321	12	81	749	55	528	55	0.622022691680931	-0.406061003609765	1.04630567681002	-91.83
mirn1241	-16.34	133.06	264	150	56	3729	378	112	266	290	210	304	210	688	181	0	111	461	8	333	8	0.688063283798317	-3.50513864158893	-0.136215726552418	133.06
mong1349	48.78	108.67	-59	132	25	14544	193	-332	525	119	-257	119	-257	434	123	3	110	305	11	305	11	-7.04800706474401	0.609708808618851	2.4631078248472	108.67
morb1239	-2.85747	132.845	270	66	80	581	313	231	82	274	261	274	261	2707	318	125	27	890	436	763	436	4.24953448294926	1.75839645583049	-0.702061944021891	132.845
mose1249	-14.64448	292.16244	238	104	69	1417	308	158	150	249	226	250	216	1813	263	67	49	761	213	536	245	2.19593865491978	0.0278922644103931	-0.373600072414887	-67.83756
movi1243	-13.8115	294.3652	259	121	72	1012	340	172	168	265	247	267	245	1578	257	24	60	696	95	380	136	2.10147468101536	-1.44845801381394	-0.478470106647206	-65.6348
nada1235	-0.13	291.6875	259	92	86	405	313	207	106	256	262	262	252	3605	410	220	20	1152	697	697	912	5.3103188152409	3.49183824951369	-0.974444460773739	-68.3125
nakh1245	42.5	46.5	67	93	28	7952	235	-86	321	147	-37	167	-37	734	119	21	50	313	73	282	73	-3.55903234444842	0.780259733495323	0.241935511418147	46.5
nilo1247	4.75	29.75	247	127	75	1074	339	171	168	233	254	261	233	1448	217	12	62	598	51	238	598	1.87882837103717	-1.2587002257076	-1.19641703896597	29.75
nubi1251	18.76	31.75	286	167	52	5333	432	116	316	338	222	341	209	20	11	0	178	20	0	19	0	-0.0892525328834105	-5.70072355602881	-1.06303719944817	31.75
nucl1709	-5.43	143.09	153	110	90	462	213	92	121	158	146	158	146	3217	338	197	14	929	652	918	652	2.81513228823	4.51438724732644	-0.16731745549395	143.09
nucl1710	-11	310	274	120	72	642	353	188	165	276	266	279	263	1848	337	3	79	916	23	423	50	2.6659584040199	-2.00634421201311	0.429343968911083	-50
nyul1248	-17.37	123.1	274	114	56	2921	352	149	203	297	261	302	229	594	189	0	129	464	3	247	19	1.12840428221293	-3.32369561688313	-0.179305153213137	123.1
otom1299	17.67	262.58	152	169	70	1620	268	29	239	162	130	171	129	686	152	5	88	350	20	269	28	-1.10897540114437	-1.59561542926643	-0.137827141703328	-97.42
paez1247	2.61516	283.68746	87	89	85	253	141	37	104	85	88	89	83	1885	195	99	20	548	327	471	497	-0.178334396634642	3.68975992398651	-0.665306288410577	-76.31254
pama1250	-12.17	142.49	262	86	65	1358	327	195	132	272	246	277	242	1789	423	6	108	1208	21	721	31	3.0346676215604	-1.386785973477	1.96269908419015	142.49
pano1259	-7.5	285	267	116	81	514	337	194	143	267	260	272	259	1809	226	74	29	595	267	526	287	2.83513514484595	-0.237633821121281	-1.36604828702298	-75
peba1241	-3.7	287.37	260	96	85	437	315	203	112	259	256	265	254	2865	319	162	21	905	523	691	536	4.23384643341986	2.04575248045077	-1.05293739804851	-72.63
puel1244	-42.223	291.334	61	140	50	5322	216	-64	280	-2	117	128	-8	175	21	7	27	58	28	34	52	-4.04929505549348	0.298358997903451	-1.50853358985587	-68.666
puin1248	3.92974	292.3114	274	101	80	708	345	220	125	265	280	283	264	2923	471	64	58	1300	239	252	1298	4.67656670183515	0.861870291533965	-0.410271286433895	-67.6886
pume1238	7.10677	292.4004	279	94	69	940	357	222	135	267	280	292	267	1858	383	1	90	1061	19	109	1061	3.43734289742511	-1.03503796229713	-0.393232475011165	-67.5996
quec1387	0.33	282	121	108	90	317	180	61	119	122	117	123	116	907	111	40	29	296	143	281	151	-0.777577536643546	1.23848185667198	-1.22312329668729	-78
saha1256	16	18	293	153	56	3743	418	146	272	313	252	333	236	57	29	0	170	51	0	6	0	0.337016267343773	-5.3386830319757	-1.24610541748686	18
sali1255	48.75	236.75	99	81	40	4265	214	16	198	52	154	154	46	800	131	21	56	369	77	77	324	-2.18322325858901	1.0407952248279	-0.814014631961496	-123.25
savo1255	-9.12853	159.814	262	77	86	392	305	216	89	265	256	266	256	2421	362	112	42	995	360	870	367	4.17819422452783	1.35202500413146	0.0406711884110486	159.814
sena1264	-3.62	141.075	246	71	91	211	286	208	78	246	243	248	243	2637	295	138	24	819	455	764	455	3.92198746733797	2.2300858406611	-0.868097415145868	141.075
seri1257	28.9877	247.616	217	160	54	5210	362	70	292	285	231	285	151	147	30	1	72	72	3	72	47	-0.858658177563989	-3.33847786032061	-1.80565073373264	-112.384
sino1245	26.1	94.75	178	104	47	3983	255	38	217	220	119	220	119	2018	427	11	89	1182	53	1182	53	1.05948263173973	0.319286168588198	3.34867540241302	94.75
sout1516	-2.0367	132.6767	270	67	84	455	311	232	79	273	263	274	263	2663	326	118	32	915	415	746	463	4.3131493594845	1.63619206873712	-0.625849027346946	132.6767
taik1256	24	108	217	79	32	5937	329	86	243	285	150	285	134	1586	276	37	67	785	127	785	152	0.870055162579745	-0.295920914753827	1.03186251603727	108
tang1340	-16.9775	139.0775	264	96	50	3292	343	151	192	289	228	297	214	1079	289	0	121	798	4	464	7	1.56927707664737	-2.44279794078045	0.966411093736049	139.0775
ticu1244	-3.66	290.13	256	93	85	399	309	200	109	257	253	260	250	2685	297	146	22	841	467	689	568	3.97183372950313	1.90198461610958	-1.10762867201996	-69.87
timo1261	-8.31	124.59	216	72	69	748	266	162	104	220	205	224	205	1573	280	13	77	830	66	498	66	1.65486745679505	-0.233855649721507	0.553145114485484	124.59
tiwi1244	-11.558449	130.812402	272	93	63	1392	332	186	146	279	249	285	249	1726	370	3	100	1070	12	478	12	2.6454229446397	-1.78593982296211	1.19082283546553	130.812402
touo1238	-8.58405	157.296	257	69	85	442	299	218	81	260	256	261	250	3569	422	228	21	1180	712	1080	837	5.64870898403048	4.08703170957487	-0.293073127614819	157.296
trum1247	-11.8119	306.4283	250	149	66	807	358	135	223	252	239	257	237	2320	396	6	77	1118	31	588	49	2.43707068924353	-1.73623928872783	1.35747113512233	-53.5717
tsim1258	54.293	231.4	60	72	26	6942	211	-65	276	14	130	149	-28	1743	280	56	53	757	177	193	624	-2.17446537168789	2.73329372742953	0.377037504886828	-128.6
tuca1253	0.5	287.5	266	88	75	732	326	210	116	259	272	274	255	2754	349	70	35	953	336	382	903	3.89515435389	1.14912814544865	-1.03261218677834	-72.5
tung1282	44	131	39	115	25	12494	253	-204	457	189	-132	189	-132	585	138	5	85	326	23	326	23	-4.86658335856623	-0.101185172671226	1.44908969943822	131
tupi1275	-8	298	260	105	70	486	334	184	150	256	256	265	254	2255	364	22	64	978	89	292	183	2.74582221927618	-0.973642759908556	0.15863078405226	-62
turk1311	56	125	-75	112	19	16892	215	-366	581	135	-252	135	-298	592	136	7	89	357	28	357	28	-7.28956211800879	1.1022099048603	2.51101372167554	125
ural1272	68	30	-3	74	22	8455	167	-155	322	110	-71	110	-109	501	69	23	37	191	72	191	93	-5.02545108662718	1.97082442140077	0.111834492619348	30
uruc1242	-17.735	291.565	79	182	69	2580	194	-67	261	103	42	104	41	354	102	1	109	234	5	233	6	-2.9983530295846	-1.02896609842694	0.407872098492654	-68.435
utoa1244	27.5	249.75	254	146	52	5329	380	103	277	321	237	321	186	215	57	0	111	152	3	152	34	-0.0751913370884187	-3.9801005177733	-1.2038781783455	-110.25
wadj1254	-13.204044	130.243534	276	114	60	1978	357	168	189	286	245	296	245	1391	323	1	106	905	5	382	5	2.13304417611831	-2.55546648245164	0.755522999640297	130.243534
wage1238	-13.930709	131.13272	274	134	58	2553	374	146	228	287	235	301	235	1193	289	1	107	774	5	343	5	1.66602144901746	-3.02485712353332	0.47009995924721	131.13272
waka1280	48.67	235.25	79	73	39	4067	188	1	187	37	130	133	31	2377	369	53	58	1052	186	215	992	-0.521150387814398	3.36797483912581	0.71647765217752	-124.75
waor1240	-1.12312	283.317	250	98	87	463	307	195	112	246	253	254	243	3169	343	201	18	968	632	801	828	4.67340456394041	3.12061636793451	-1.10558758320338	-76.683
west2604	-2.92	132.25	269	64	81	576	311	232	79	269	274	274	260	3262	340	219	14	978	723	723	799	5.17770618180216	3.53705963637736	-1.48806997073706	132.25
worr1236	-15.92	125.93	257	115	56	2826	347	142	205	275	214	286	214	1167	296	3	111	803	19	543	19	1.58675901225877	-2.33198855132127	0.9820770992506	125.93
yama1264	-55.2748	291.7352	44	77	52	2653	122	-24	146	46	28	77	8	858	87	48	18	246	159	215	212	-2.92789080982128	2.88826889471004	-0.874799093398771	-68.2648
yano1268	1.68	295.12	242	104	92	362	300	187	113	237	244	245	236	2540	363	124	31	925	422	434	785	3.79040748398169	1.75739645260673	-1.08121166133778	-64.88
yeni1252	57	93	-1	105	22	12945	245	-227	472	164	-144	164	-172	464	68	15	45	191	51	191	63	-5.7339369096694	0.767585904913458	0.482226100533939	93
yuka1259	66.985	169.6875	-144	107	19	16433	164	-382	546	79	-182	79	-329	284	49	10	53	126	33	126	55	-8.38421943608921	2.02030556809986	1.23957947065672	169.6875
zamu1243	-19.5733	300.71	245	133	65	2540	338	135	203	266	212	271	208	984	153	17	60	429	68	372	80	0.902026507815173	-1.92430472330716	-0.91619652351845	-59.29
zuni1245	35.0056	251.218	96	183	45	7855	305	-95	400	193	131	199	-3	310	56	10	53	137	36	116	61	-3.28176267354016	-1.70493356886647	-0.893340009963495	-108.782
