glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
nubi1251	18.76	31.75	31.75	17922	20648	22792	24714	24817	24487	24022	23141	22036	20903	18676	17328	2688.64029508665	21790.5
nucl1709	-5.43	143.09	143.09	13784	13318	13576	14878	15546	14799	14648	16100	17365	17782	16412	15134	1428.17630055065	15278.5
nucl1710	-11	310	-50	14349	14034	13980	15808	16156	16748	17937	19010	16875	16617	15388	13407	1708.54395523489	15859.0833333333
nyul1248	-17.37	123.1	123.1	23784	22345	22507	21434	18318	17277	18350	21179	24283	26318	27295	25431	3243.2053764195	22376.75
otom1299	17.67	262.58	-97.42	15149	17745	19105	18191	18662	17703	17638	17702	15572	15988	15330	14261	1574.38412200973	16920.5
paez1247	2.61516	283.68746	-76.31254	16033	15780	14968	14293	14288	14359	15088	15608	16100	15453	14350	14342	720.211311583853	15055.1666666667
pama1250	-12.17	142.49	142.49	20461	19950	19123	18190	17210	16501	17236	19281	21775	23189	22814	21355	2232.22011208301	19757.0833333333
pano1259	-7.5	285	-75	14726	13962	12575	12932	14166	13051	14497	15062	16173	15364	15282	14964	1098.53818846463	14396.1666666667
peba1241	-3.7	287.37	-72.63	12610	12586	11726	11628	11615	11821	13115	14408	14772	14425	13591	12401	1162.69025813569	12891.5
puel1244	-42.223	291.334	-68.666	23662	19843	15081	9701	6033	3860	4444	6514	10940	16968	21185	22295	7353.06796617245	13377.1666666667
puin1248	3.92974	292.3114	-67.6886	18231	19137	16610	15069	14207	13837	15032	15819	16826	15841	16068	15646	1529.97317019455	16026.9166666667
pume1238	7.10677	292.4004	-67.5996	17897	18710	17700	17053	15646	14946	15571	16713	17436	17295	16368	16675	1080.8381287714	16834.1666666667
quec1387	0.33	282	-78	14138	13202	13066	13295	13177	13455	14345	14524	14978	14473	14056	13625	638.596591018623	13861.1666666667
saha1256	16	18	18	19353	21738	23109	24106	25014	24392	23326	21493	23185	22596	20542	19128	1915.8141793235	22331.8333333333
sali1255	48.75	236.75	-123.25	3231	6082	10061	14977	18774	20290	21451	18340	13262	7093	3610	2554	7086.70876455611	11643.75
savo1255	-9.12853	159.814	159.814	20556	20266	20364	19693	18360	17208	17498	18753	20986	21504	21247	20865	1472.05669357226	19775
sena1264	-3.62	141.075	141.075	15793	14597	14808	17057	16800	15942	15540	16883	17881	17663	16133	15737	1040.33716853837	16236.1666666667
seri1257	28.9877	247.616	-112.384	12603	15528	18750	22186	24448	25168	23035	21917	19713	17280	13885	12052	4606.69105182556	18880.4166666667
sino1245	26.1	94.75	94.75	14546	16352	18659	19429	18974	16279	15629	15848	15719	15539	14784	13940	1784.37006115646	16308.1666666667
sout1516	-2.0367	132.6767	132.6767	16538	18769	18569	17353	16464	14911	14827	16239	17862	18529	18506	16994	1382.59765121727	17130.0833333333
taik1256	24	108	108	8883	9728	12123	15313	17020	17637	19829	19251	17623	14368	11369	9693	3935.42686741704	14403.0833333333
tang1340	-16.9775	139.0775	139.0775	23007	21655	21604	20170	17989	17046	18339	20730	23699	24824	24676	23926	2674.33126588629	21472.0833333333
ticu1244	-3.66	290.13	-69.87	12526	12881	12642	11895	11473	12965	14450	15583	15427	14283	13677	12402	1333.99327607228	13350.3333333333
timo1261	-8.31	124.59	124.59	16603	16563	18811	18592	17101	16605	16670	19902	22414	22939	21420	19461	2347.94205667754	18923.4166666667
tiwi1244	-11.558449	130.812402	130.812402	18958	18813	19839	20437	19021	18326	19149	20946	22592	23240	22626	20570	1674.08110253918	20376.4166666667
touo1238	-8.58405	157.296	157.296	20419	20200	20375	19839	18769	17480	17331	18264	20614	21232	20736	20272	1322.2327850567	19627.5833333333
trum1247	-11.8119	306.4283	-53.5717	12850	13127	13556	15616	16092	16428	17595	18287	16861	16732	14557	12748	1941.10311304025	15370.75
tsim1258	54.293	231.4	-128.6	2117	4557	8933	14045	17979	19105	18292	15483	10389	5428	2589	1537	6757.06424732104	10037.8333333333
tuca1253	0.5	287.5	-72.5	15768	14848	14905	12989	12686	12678	13530	14756	15288	14674	14187	15046	1055.59517535958	14279.5833333333
tung1282	44	131	131	7324	10824	14763	17251	19425	18903	17430	16329	14874	11251	7680	6087	4714.43128981255	13511.75
tupi1275	-8	298	-62	11651	11800	12119	12048	13823	15128	16855	17013	16440	15777	13494	11670	2153.91140331568	13984.8333333333
turk1311	56	125	125	2509	5818	11311	15997	19100	20523	19151	15120	10506	6643	3152	1641	6955.14077314345	10955.9166666667
ural1272	68	30	30	239	1726	5925	12446	16874	19084	17208	11571	6034	2102	422	37	7272.89365112718	7805.66666666667
uruc1242	-17.735	291.565	-68.435	18203	16936	18932	19163	16108	15174	16301	17791	19797	20830	20228	19815	1821.37804140079	18273.1666666667
utoa1244	27.5	249.75	-110.25	12569	15537	18624	21641	23694	23387	20968	20255	18415	17121	14024	11873	4027.9377383771	18175.6666666667
